indexvalue,id,beername,stylevalue,ounces,abv,ibu,breweryid,breweryname,city,statevalue,Label
60,48,British Pale Ale,English Pale Ale,16.0,0.054,30.0,481,7 Seas Brewing Company,Gig Harbor,WA,0
61,47,Ballz Deep Double IPA,American Double / Imperial IPA,16.0,0.084,82.0,481,7 Seas Brewing Company,Gig Harbor,WA,0
62,1583,Wolfmans Berliner,Berliner Weissbier,12.0,,20.0,373,7venth Sun,Dunedin,FL,1
63,1165,Colorado Native,American Amber / Red Lager,12.0,0.055,26.0,462,AC Golden Brewing Company,Golden,CO,0
64,431,Colorado Native (2011),American Amber / Red Lager,12.0,0.055,26.0,462,AC Golden Brewing Company,Golden,CO,0
65,516,Jockamo IPA,American IPA,12.0,0.065,52.0,533,Abita Brewing Company,Abita Springs,LA,0
66,515,Purple Haze,Fruit / Vegetable Beer,12.0,0.042,13.0,533,Abita Brewing Company,Abita Springs,LA,0
67,514,Abita Amber,American Amber / Red Lager,12.0,0.045,17.0,533,Abita Brewing Company,Abita Springs,LA,0
68,2540,Citra Ass Down,American IPA,16.0,0.082,68.0,62,Against The Grain Brewery,Louisville,KY,0
69,2539,The Brown Note,American Brown Ale,16.0,0.05,20.0,62,Against The Grain Brewery,,KY,1
70,2686,Citra Ass Down,American Double / Imperial IPA,16.0,0.08,68.0,1,Against the Grain Brewery,Louisville,KY,0
71,2685,London Balling,English Barleywine,16.0,0.125,80.0,1,Against the Grain Brewery,Louisville,KY,0
72,2684,35 K,Milk / Sweet Stout,16.0,0.077,25.0,1,Against the Grain Brewery,Louisville,KY,0
73,2683,A Beer,American Pale Ale (APA),16.0,0.042,42.0,1,Against the Grain Brewery,Louisville,KY,0
74,2682,Rules are Rules,German Pilsener,16.0,0.05,25.0,1,Against the Grain Brewery,Louisville,KY,0
75,2681,Flesh Gourdn,Pumpkin Ale,16.0,0.066,21.0,1,Against the Grain Brewery,Louisville,KY,0
76,2680,Shonuff,Belgian Pale Ale,16.0,0.04,13.0,1,Against the Grain Brewery,Louisville,KY,0
77,2679,Bloody Show,American Pilsner,16.0,0.055,17.0,1,Against the Grain Brewery,Louisville,KY,0
78,2678,Rico Sauvin,American Double / Imperial IPA,16.0,0.076,68.0,1,Against the Grain Brewery,Louisville,KY,0
79,2677,Coq de la Marche,Saison / Farmhouse Ale,16.0,0.051,38.0,1,Against the Grain Brewery,Louisville,KY,0
80,2676,Kamen Knuddeln,American Wild Ale,16.0,0.065,20.0,1,Against the Grain Brewery,Louisville,KY,0
81,2675,Pile of Face,American IPA,16.0,0.06,65.0,1,Against the Grain Brewery,Louisville,KY,0
82,2674,The Brown Note,English Brown Ale,16.0,0.05,20.0,1,Against the Grain Brewery,Louisville,KY,0
83,1594,Maylanis Coconut Stout,American Stout,16.0,0.053,35.0,367,Airways Brewing Company,Kent,WA,0
84,1162,Oatmeal PSA,American Pale Ale (APA),16.0,0.05,35.0,367,Airways Brewing Company,Kent,WA,0
85,1137,Pre Flight Pilsner,American Pilsner,16.0,0.052,33.0,367,Airways Brewing Company,Kent,WA,0
86,2403,P-Town Pilsner,American Pilsner,12.0,0.04,20.0,117,Alameda Brewing,Portland,OR,0
87,2402,Klickitat Pale Ale,American Pale Ale (APA),12.0,0.053,36.0,117,Alameda Brewing,Portland,OR,0
88,2401,Yellow Wolf Imperial IPA,American Double / Imperial IPA,12.0,0.082,103.0,117,Alameda Brewing,Portland,OR,0
89,1921,Freeride APA,American Pale Ale (APA),12.0,0.03,40.0,270,Alaskan Brewing Company,Juneau,AK,1
90,1920,Alaskan Amber,Altbier,12.0,0.053,18.0,270,Alaskan Brewing Company,Juneau,AK,0
91,2501,Hopalicious,American Pale Ale (APA),12.0,0.057,20.0,73,Ale Asylum,Madison,WI,0
92,1535,Kentucky Kölsch,Kölsch,16.0,0.043,20.0,388,Alltechs Lexington Brewing Company,Lexington,KY,0
93,1149,Kentucky IPA,American IPA,16.0,0.065,20.0,388,Alltechs Lexington Brewing Company,Lexington,KY,0
94,1474,Dusty Trail Pale Ale,American Pale Ale (APA),16.0,0.054,20.0,401,Amnesia Brewing Company,Washougal,WA,0
95,1473,Damnesia,American IPA,16.0,0.062,20.0,401,Amnesia Brewing Company,Washougal,WA,0
96,837,Desolation IPA,American IPA,16.0,0.062,43.0,401,Amnesia Brewing Company,Washougal,WA,0
97,2592,Liberty Ale,American IPA,12.0,0.059,20.0,35,Anchor Brewing Company,San Francisco,CA,0
98,2578,IPA,American IPA,120.,0.065,20.0,35,Anchor Brewing Company,San Francisco,CA,1
99,2577,Summer Wheat,American Pale Wheat Ale,12.0,0.045,20.0,35,Anchor Brewing Company,San Francisco,CA,0
100,2103,California Lager,American Amber / Red Lager,12.0,0.049,20.0,35,Anchor Brewing Company,San Francisco,CA,0
101,2102,Brotherhood Steam,California Common / Steam Beer,12.0,0.056,20.0,35,Anchor Brewing Company,San Francisco,CA,0
102,2291,Blood Orange Gose,Gose,12.0,0.042,20.0,171,Anderson Valley Brewing Company,Boonville,CA,0
103,1818,Keebarlin Pale Ale,American Pale Ale (APA),12.0,0.042,20.0,171,Anderson Valley Brewing Company,Boonville,CA,0
104,1738,the Kimmie  the Yink and the Holy Gose,Gose,12.0,0.048,20.0,171,Anderson Valley Brewing Company,Boonville,CA,0
105,1563,Fall Hornin,Pumpkin Ale,12.0,0.06,20.0,171,Anderson Valley Brewing Company,Boonville,CA,0
106,1520,Barney Flats Oatmeal Stout,Oatmeal Stout,12.0,0.057,13.0,171,Anderson Valley Brewing Company,Boonville,CA,0
107,1350,Summer Solstice,Cream Ale,12.0,0.056,4.0,171,Anderson Valley Brewing Company,Boonville,CA,0
108,1327,Hop Ottin IPA,American IPA,12.0,0.07,80.0,171,Anderson Valley Brewing Company,Boonville,CA,0
109,1326,Boont Amber Ale,American Amber / Red Ale,12.0,0.058,15.0,171,Anderson Valley Brewing Company,Boonville,CA,0
110,1221,Barney Flats Oatmeal Stout,Oatmeal Stout,12.0,0.057,13.0,171,Anderson Valley Brewing Company,Boonville,CA,0
111,1217,El Steinber Dark Lager,Vienna Lager,16.0,0.055,25.0,171,Anderson Valley Brewing Company,Boonville,CA,0
112,811,Boont Amber Ale (2010),American Amber / Red Ale,12.0,0.058,15.0,171,Anderson Valley Brewing Company,Boonville,CA,0
113,753,Summer Solstice Cerveza Crema (2009),Cream Ale,12.0,0.056,4.0,171,Anderson Valley Brewing Company,Boonville,CA,0
114,572,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,12.0,0.057,13.0,171,Anderson Valley Brewing Company,Boonville,CA,0
115,523,Winter Solstice,Winter Warmer,12.0,0.069,6.0,171,Anderson Valley Brewing Company,Boonville,CA,0
116,367,Hop Ottin IPA (2011),American IPA,12.0,0.07,80.0,171,Anderson Valley Brewing Company,Boonville,CA,0
117,78,Boont Amber Ale (2011),American Amber / Red Ale,12.0,0.058,15.0,171,Anderson Valley Brewing Company,Boonville,CA,0
118,77,Summer Solstice (2011),Cream Ale,12.0,0.056,4.0,171,Anderson Valley Brewing Company,Boonville,CA,0
119,76,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),12.0,0.055,28.0,171,Anderson Valley Brewing Company,Boonville,CA,0
120,2337,Charlies Rye IPA,American IPA,16.0,0.06,20.0,146,Angry Minnow,Hayward,WI,0
121,410,River Pig Pale Ale,American Pale Ale (APA),16.0,0.054,20.0,542,Angry Minnow Brewing Company,Hayward,WI,0
122,409,Oakys Oatmeal Stout,Oatmeal Stout,16.0,0.047,20.0,542,Angry Minnow Brewing Company,Hayward,WI,0
123,1294,Angry Orchard Apple Ginger,Cider,16.0,0.05,20.0,434,Angry Orchard Cider Company,Cincinnati,OH,0
124,1293,Angry Orchard Crisp Apple,Cider,16.0,0.05,20.0,434,Angry Orchard Cider Company,Cincinnati,OH,0
125,1292,Angry Orchard Crisp Apple,Cider,12.0,0.05,20.0,434,Angry Orchard Cider Company,Cincinnati,OH,0
126,2207,Golden One,Belgian Pale Ale,12.0,0.068,20.0,193,Anthem Brewing Company,Oklahoma City,OK,0
127,2040,Arjuna,Witbier,12.0,0.06,20.0,193,Anthem Brewing Company,Oklahoma City,OK,0
128,2039,Uroboros,American Stout,12.0,0.085,20.0,193,Anthem Brewing Company,Oklahoma City,OK,0
129,2511,Long Leaf,American IPA,16.0,0.071,75.0,69,Appalachian Mountain Brewery,Boone,NC,0
130,2510,Honey Badger Blonde,American Blonde Ale,16.0,0.047,19.0,69,Appalachian Mountain Brewery,Boone,NC,0
131,509,Porter (a/k/a Black Gold Porter),American Porter,16.0,0.06,23.0,69,Appalachian Mountain Brewery,Boone,NC,1
132,413,Sky High Rye,American Pale Ale (APA),12.0,0.06,55.0,541,Arcadia Brewing Company,Battle Creek,MI,0
133,390,Whitsun,American Pale Wheat Ale,12.0,0.062,17.0,541,Arcadia Brewing Company,Battle Creek,MI,0
134,735,On-On Ale (2008),American Pale Ale (APA),12.0,0.052,20.0,513,Arctic Craft Brewery,Colorado Springs,CO,0
135,1333,Quakertown Stout,American Double / Imperial Stout,12.0,0.092,50.0,426,Armadillo Ale Works,Denton,TX,0
136,1332,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,12.0,0.051,20.0,426,Armadillo Ale Works,Denton,TX,0
137,1172,Gose,Mos Gose,16.0,0.052,10.0,461,Armstrong Brewing Company,South San Francisco,CA,1
138,1322,Green Bullet Organic India Pale Ale,American IPA,16.0,0.07,45.0,429,Asher Brewing Company,Boulder,CO,0
139,550,Rocket Girl,Kölsch,12.0,0.032,27.0,528,Asheville Brewing Company,Asheville,NC,0
140,429,Ninja Porter,American Porter,12.0,0.053,26.0,528,Asheville Brewing Company,Asheville,NC,0
141,428,Shiva IPA,American IPA,12.0,0.06,69.0,528,Asheville Brewing Company,Asheville,NC,0
142,1640,Aslan Kölsch,Kölsch,16.0,0.048,20.0,353,Aslan Brewing Company,Bellingham,WA,0
143,1639,Aslan IPA,American IPA,16.0,0.077,20.0,353,Aslan Brewing Company,Bellingham,WA,0
144,1638,Aslan Amber,American Amber / Red Ale,16.0,0.077,20.0,353,Aslan Brewing Company,Bellingham,WA,0
145,597,This Seasons Blonde,American Blonde Ale,12.0,0.056,27.0,523,Aspen Brewing Company,Aspen,CO,0
146,596,Independence Pass Ale,American IPA,12.0,0.07,67.0,523,Aspen Brewing Company,,CO,1
147,1580,Trolley Stop Stout,American Stout,12.0,0.057,40.0,374,Astoria Brewing Company,Astoria,OR,0
148,980,Bitter Bitch Imperial IPA,American Double / Imperial IPA,12.0,0.082,138.0,374,Astoria Brewing Company,Astoria,OR,0
149,979,Poop Deck Porter,American Porter,12.0,0.062,35.0,374,Astoria Brewing Company,Astoria,OR,0
150,978,Old Red Beard Amber Ale,American Amber / Red Ale,12.0,0.06,35.0,374,Astoria Brewing Company,Astoria,OR,0
151,2503,Hop A-Peel,American Double / Imperial IPA,16.0,0.075,115.0,72,Atwater Brewery,Detroit,MI,0
152,2502,Vanilla Java Porter,American Porter,16.0,0.055,12.0,72,Atwater Brewery,Detroit,MI,0
153,2495,Michelada,Fruit / Vegetable Beer,16.0,0.052,20.0,72,Atwater Brewery,Detroit,MI,0
154,534,Dirty Blonde Ale,American Blonde Ale,12.0,0.045,8.0,72,Atwater Brewery,Detroit,MI,0
155,528,Grand Circus IPA,American IPA,12.0,0.05,62.0,72,Atwater Brewery,Detroit,MI,0
156,527,Atwaters Lager,Munich Helles Lager,12.0,0.05,12.0,72,Atwater Brewery,Detroit,MI,0
157,1409,Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,16.0,0.07,20.0,413,Austin Beerworks,Austin,TX,0
158,343,Fire Eagle IPA,American IPA,12.0,0.062,20.0,413,Austin Beerworks,Austin,TX,0
159,342,Peacemaker,American Pale Ale (APA),12.0,0.051,20.0,413,Austin Beerworks,Austin,TX,0
160,341,Pearl-Snap,German Pilsener,12.0,0.053,20.0,413,Austin Beerworks,Austin,TX,0
161,340,Black Thunder,Schwarzbier,12.0,0.052,20.0,413,Austin Beerworks,Austin,TX,0
162,2589,Raja,American Double / Imperial IPA,12.0,0.08,20.0,37,Avery Brewing Company,Boulder,CO,0
163,2546,Perzik Saison,Saison / Farmhouse Ale,12.0,0.064,20.0,37,Avery Brewing Company,Boulder,CO,0
164,146,Avery Joe’s Premium American Pilsner,German Pilsener,12.0,0.047,42.0,37,Avery Brewing Company,Boulder,CO,0
165,108,White Rascal,Witbier,12.0,0.056,10.0,37,Avery Brewing Company,Boulder,CO,0
166,107,Avery India Pale Ale,American IPA,12.0,0.063,69.0,37,Avery Brewing Company,Boulder,CO,0
167,106,Ellie’s Brown Ale,American Brown Ale,12.0,0.055,17.0,37,Avery Brewing Company,Boulder,CO,0
168,1620,Pumpkin Beast,Pumpkin Ale,12.0,0.062,17.0,360,Aviator Brewing Company,Fuquay-Varina,NC,0
169,1579,OktoberBeast,Märzen / Oktoberfest,12.0,0.072,22.0,360,Aviator Brewing Company,Fuquay-Varina,NC,0
170,1228,Mad Beach,American Pale Wheat Ale,12.0,0.048,23.0,360,Aviator Brewing Company,Fuquay-Varina,NC,0
171,705,Hog Wild India Pale Ale,American IPA,12.0,0.067,20.0,360,Aviator Brewing Company,Fuquay-Varina,NC,0
172,704,Devils Tramping Ground Tripel,Tripel,12.0,0.092,5.0,360,Aviator Brewing Company,Fuquay-Varina,NC,0
173,702,Hot Rod Red,American Amber / Red Ale,12.0,0.061,41.0,360,Aviator Brewing Company,Fuquay-Varina,NC,0
174,2058,Palate Mallet,American Double / Imperial IPA,12.0,0.086,20.0,235,Back East Brewing Company,Bloomfield,CT,0
175,1483,Back East Porter,American Porter,12.0,0.06,20.0,235,Back East Brewing Company,Bloomfield,CT,0
176,1426,Back East Golden Ale,American Blonde Ale,12.0,0.049,20.0,235,Back East Brewing Company,Bloomfield,CT,0
177,1132,Misty Mountain IPA,12.0,American IPA,0.07,20.0,235,Back East Brewing Company,Bloomfield,CT,1
178,1131,Back East Ale,American Amber / Red Ale,12.0,0.05,20.0,235,Back East Brewing Company,Bloomfield,CT,0
179,1876,Truck Stop Honey Brown Ale,English Brown Ale,12.0,0.06,20.0,286,Back Forty Beer Company,Gadsden,AL,0
180,1875,Naked Pig Pale Ale,American Pale Ale (APA),12.0,0.06,43.0,286,Back Forty Beer Company,Gadsden,AL,0
181,966,Topcutter India Pale Ale,American IPA,12.0,0.068,70.0,483,Bale Breaker Brewing Company,Yakima,WA,0
182,965,Field 41 Pale Ale,American Pale Ale (APA),12.0,0.044,38.0,483,Bale Breaker Brewing Company,Yakima,WA,0
183,2593,Grapefruit Sculpin,American IPA,12.0,0.07,20.0,34,Ballast Point Brewing Company,San Diego,CA,0
184,2105,Even Keel,American IPA,12.0,0.038,40.0,34,Ballast Point Brewing Company,San Diego,CA,0
185,1401,Ballast Point Pale Ale,Kölsch,12.0,0.052,23.0,34,Ballast Point Brewing Company,San Diego,CA,0
186,1400,Big Eye India Pale Ale,American IPA,12.0,0.07,75.0,34,Ballast Point Brewing Company,San Diego,CA,0
187,1019,Longfin Lager,Munich Helles Lager,12.0,0.046,20.0,34,Ballast Point Brewing Company,San Diego,CA,0
188,1018,Sculpin IPA,American IPA,12.0,0.07,70.0,34,Ballast Point Brewing Company,San Diego,CA,0
189,1776,All Nighter Ale,Extra Special / Strong Bitter (ESB),12.0,0.045,20.0,318,Banner Beer Company,Williamsburg,MA,0
190,1644,Banner American Rye,Rye Beer,12.0,0.045,20.0,40,Banner Beer Company,Williamsburg,MA,1
191,1643,Banner American Ale,American Amber / Red Ale,12.0,0.035,45.0,318,Banner Beer Company,Williamsburg,MA,0
192,2618,Thai.p.a,American IPA,16.0,0.07,46.0,20,Bare Hands Brewery,Granger,IN,0
193,2005,Barrio Blanco,American IPA,12.0,0.06,60.0,251,Barrio Brewing Company,Tucson,AZ,0
194,1343,Barrio Tucson Blonde,American Blonde Ale,12.0,0.045,20.0,251,Barrio Brewing Company,Tucson,AZ,0
195,2404,American Pilsner,Hop in the ‘Pool Helles,12.0,0.049,22.0,116,Base Camp Brewing Co.,Portland,OR,1
196,2323,Ultra Gnar Gnar IPA,American IPA,12.0,0.067,60.0,116,Base Camp Brewing Co.,Portland,OR,0
197,2189,In-Tents India Pale Lager,American Pale Lager,12.0,0.068,62.0,116,Base Camp Brewing Co.,Portland,OR,0
198,2188,Lost Meridian Wit,Witbier,12.0,0.05,20.0,116,Base Camp Brewing Co.,Portland,OR,0
199,2187,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,12.0,0.051,45.0,116,Base Camp Brewing Co.,Portland,OR,0
200,1966,Wagon Party,California Common / Steam Beer,12.0,0.054,55.0,258,Bauhaus Brew Labs,Minneapolis,MN,0
201,1965,Sky-Five,American IPA,12.0,0.067,70.0,258,Bauhaus Brew Labs,Minneapolis,MN,0
202,1964,Stargrazer,Schwarzbier,12.0,0.05,28.0,258,Bauhaus Brew Labs,MN,Minneapolis,1
203,1963,Wonderstuff,German Pilsener,12.0,0.054,48.0,258,Bauhaus Brew Labs,Minneapolis,MN,0
204,1855,Tarnation California-Style Lager,California Common / Steam Beer,12.0,0.053,20.0,292,Baxter Brewing Company,Lewiston,ME,0
205,1778,On the Count of 3 (2015),Hefeweizen,16.0,0.07,42.0,292,Baxter Brewing Company,Lewiston,ME,0
206,1209,Summer Swelter,American Pale Wheat Ale,12.0,0.047,20.0,292,Baxter Brewing Company,Lewiston,ME,0
207,954,Phantom Punch Winter Stout,Foreign / Export Stout,12.0,0.068,20.0,292,Baxter Brewing Company,Lewiston,ME,0
208,910,Hayride Autumn Ale,Rye Beer,12.0,0.066,20.0,292,Baxter Brewing Company,Lewiston,ME,0
209,707,Celsius Summer Ale (2012),American Pale Wheat Ale,12.0,0.047,20.0,292,Baxter Brewing Company,Lewiston,ME,0
210,533,Amber Road,American Amber / Red Ale,12.0,0.055,35.0,292,Baxter Brewing Company,Lewiston,ME,0
211,183,Pamola Xtra Pale Ale,American Pale Ale (APA),12.0,0.049,28.0,292,Baxter Brewing Company,Lewiston,ME,0
212,182,Stowaway IPA,American IPA,12.0,0.069,69.0,292,Baxter Brewing Company,Lewiston,ME,0
213,1806,Hoptopus Double IPA,American Double / Imperial IPA,16.0,0.088,108.0,306,Beach Brewing Company,Virginia Beach,,1
214,2435,Watermelon Ale,Fruit / Vegetable Beer,12.0,0.05,10.0,103,Beer Works Drewery,Lowell,MA,1
215,2423,Fenway American Pale Ale,American Pale Ale (APA),12.0,0.058,45.0,103,Beer Works Brewery,Lowell,MA,0
216,2420,Back Bay IPA,American IPA,12.0,0.068,85.0,103,Beer Works Brewery,Lowell,MA,0
217,2419,Bunker Hill Blueberry Ale,Other,12.0,0.048,16.0,103,Beer Works Brewery,Lowell,MA,0
218,2494,Oberon,American Pale Wheat Ale,12.0,0.058,20.0,76,Bells Brewery,Kalamazoo,MI,0
219,2325,Smitten,Rye Beer,16.0,0.06,20.0,76,Bells Brewery,Kalamazoo,MI,0
220,2022,Winter White,Witbier,16.0,0.05,20.0,76,Bells Brewery,Kalamazoo,MI,0
221,1989,Oberon,American Pale Wheat Ale,16.0,0.058,20.0,76,Bells Brewery,Kalamazoo,MI,0
222,1988,Two Hearted,American IPA,16.0,0.07,20.0,76,Bells Brewery,Lyons,MI,1
223,1955,Best Brown,American Brown Ale,16.0,0.058,20.0,76,Bells Brewery,Kalamazoo,MI,0
224,2558,Moar,English India Pale Ale (IPA),12.0,0.044,44.0,53,Bent Brewstillery,Roseville,MN,0
225,2557,Uber Lupin Schwarz IPA,American Double / Imperial IPA,16.0,0.083,20.0,53,Bent Brewstillery,Roseville,MN,0
226,2556,Nordic Blonde,American Blonde Ale,12.0,0.057,27.0,53,Bent Brewstillery,Roseville,MN,0
227,2496,Cold Press,American Black Ale,12.0,0.06,20.0,75,Bent Paddle Brewing Company,Duluth,MN,0
228,2410,Harness the Winter,American IPA,12.0,0.072,87.0,75,Bent Paddle Brewing Company,Duluth,MN,0
229,1902,14° ESB,Extra Special / Strong Bitter (ESB),12.0,0.056,32.0,75,Bent Paddle Brewing Company,Duluth,MN,0
230,1901,Bent Hop Golden IPA,American IPA,12.0,0.062,68.0,75,Bent Paddle Brewing Company,Duluth,MN,0
231,1261,Bent Paddle Black Ale,American Black Ale,12.0,0.06,34.0,75,Bent Paddle Brewing Company,Duluth,MN,0
232,1253,Venture Pils,German Pilsener,12.0,0.05,38.0,75,Bent Paddle Brewing Company,Duluth,MN,0
233,1900,Lost Sailor IPA,English India Pale Ale (IPA),12.0,0.055,40.0,278,Berkshire Brewing Company,South Deerfield,MA,0
234,1317,Steel Rail Extra Pale Ale,American Pale Ale (APA),12.0,0.053,20.0,278,Berkshire Brewing Company,South Deerfield,MA,0
235,1158,La Frontera Premium IPA,American IPA,12.0,0.078,20.0,463,Big Bend Brewing Company,Alpine,TX,0
