dbn,schoolname,numofsat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,Label
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127,572,594,592,0
02M418,MILLENNIUM HIGH SCHOOL,144,528,553,533,0
02M419,LANDMARK HIGH SCHOOL,62,390,399,381,0
,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336,429,449,428,1
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84,416,426,391,0
02M427,MANHATTAN ACADEMY FOR ARTS   LANGUAGE,s,s,s,s,0
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,29,356,,349,1
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,s,s,s,s,0
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,s,s,s,s,0
02M439,MANHATTAN VILLAGE ACADEMY,95,441,473,458,0
BAYARD RUSTIN EDUCATIONAL COMPLEX,02M440,59,378,365,368,1
02M449,VANGUARD HIGH SCHOOL,72,35,416,388,1
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,49,460,376,391,1
02M460,WASHINGTON IRVING HIGH SCHOOL,151,387,373,360,1
02M473,GOTHAM PROFESSIONAL ARTS ACADEMY,s,s,s,s,1
02M475,STUYVESANT HIGH SCHOOL,832,419,735,682,1
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,167,443,489,442,0
02M500,,25,370,349,351,1
02M519,TALENT UNLIMITEa HIGH SCHOOL,81,469,523,475,1
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264,407,440,393,0
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,131,414,425,400,0
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,42,429,404,420,0
02Mh42,,66,336,378,344,1
02M543,NEW DESIGN HIGH SCHOOL,73,391,,382,1
02M544,INDEPENDENCE HIGH SCHOOL,,389,371,335,1
11X270,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,78,412,581,431,1
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,26,638,436,352,1
02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77,405,423,384,0
02M560,HIGH SCHOOL M560 s CITY AS SCHOOL,56,498,440,,1
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,30,527,508,512,0
02M570,SATELLITE ACADEMY HIGH SCHOOL,33,350,337,345,0
02M575,,121,345,517,343,1
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,84,408,384,403,0
02M586,HARVEY MILK HIGH SCHOOL,9,458,416,429,0
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,335,423,423,411,0
02M605,HUMANITIES PREPARATORY ACADEMY,36,426,4b3,426,1
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,83,399,,390,1
02M620,NORMAN THOMAS HIGH SCHOOL,154,370,379,359,0
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,191,395,382,376,0
02M630,ART AND DESIGN HIGH SCHOOL,518,444,422,430,1
02M655,LIFE SCIENCES SECONDARY SCHOOL,61,409,424,403,0
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,27,406,379,408,0
03M299,HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY,49,374,384,374,0
03M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES  THE,41,384,390,370,0
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,s,s,s,s,0
03M403,THE GLOBAL LEARNING COLLABORATIVE,s,s,s,s,0
03M404,INNOVATION DIPLOMA PLUS,12,416,403,381,0
034M15,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING   VISUAL ARTS,32,371,368,370,1
03M417,FRANK MCCOURT HIGH SCHOOL,s,s,s,s,0
03M470,LOUIS D. BRANDEIS HIGH SCHOOL,131,,390,358,1
03M479,BEACON HIGH SCHOOL,261,577,575,592,0
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC   ART AND PERFORMING ARTS,531,566,564,577,0
03M492,,66,396,398,4V2,1
03M494,HIGH SCHOOL OF ARTS AND TECHpOLOGY,75,433,433,,1
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOU,175,401,369,351,1
03M541,MANHATTAN   HUNTER SCIENCE HIGH SCHOOL,11C,473,506,467,1
03M577,YOUNG ADULT BOROUGH CENTER AT LOUIS D. BRANDEIS HS,s,s,s,s,0
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,43,356,379,361,0
04M409,LEARNING TO WORK YABC AT TRUMAN HIGH SCHOOL,8,354,357,373,1
26Q566,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,375,461,514,455,1
04M495,PARK EAST HIGH SCHOOL,51,373,460,376,1
04M555,CENTRAL PARK EAST HIGH SCHOOL,,405,421,395,1
04M610,YOUNG WOMEN S LEADERSHIP SCHOOL,,432,446,448,1
04M635,ACADEMY OF ENVIROMENTAL SCIENCE SECONDARY HIGH SCHOOL,48,369,369,357,1
04M680,HERITAGE SCHOOL  THE,38,358,351,345,1
05M285,HARLEM RENAISSANCE HIGH SCHOOL,29,357,318,333,0
05M304,MOTT HALL HIGH SCHOOL,54,413,399,398,0
05M362,COLUMBIA SECONDARY SCHOOL FOR MATH  SCIENCE  AND ENGINEERING,s,s,s,s,0
05M367,,33,354,366,342,1
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,88,360,432,364,1
05M469,CHOIR ACADEMY OF HARLEM,20,354,360,385,0
05M499,FREDERICK DOUGLASS ACADEMY,214,458,474,442,0
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,66,,402,404,1
05M685,BREAD   ROSES INTEGRATED ARTS HIGH SCHOOL,270,369,361,354,1
05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE AND ENGINEERING AT CITY COLLEGE,101,605,654,588,0
06M293,CITY COLLEGE ACADEMY OF THE ARTS,60,408,446,416,0
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,404,362,376,367,1
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,70,380,399,395,1
06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,s,s,s,s,0
,GEORGE WASHINGTON YABC,7,,357,346,1
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,76,3z5,384,378,1
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,63,369,80,349,1
,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,94,363,378,361,1
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,24,400,422,402,0
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,228,430,456,423,0
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,56,537,349,32z,1
07X221,SOUTH BRONX PREPARATORY  A COLLEGE BOARD SCHOOL,182,364,378,348,1
0X321,CROTONA ACADEMY HIGH SCHOOL,9,379,364,382,1
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,34,310,324,311,0
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,s,s,s,s,0
07X381,BRONX HIGH SCHOOL OF SCIENCE,s,s,s,s,1
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,43,361,359,357,0
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,104,351,375,371,1
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,,403,394,404,1
07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,,420,426,411,1
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,64,399,396,391,0
07X527,62,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,362,378,326,1
01M450,NEW EXPLORERS HIGH SCHOOL,28,367,,361,1
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,44,387,411,383,0
08X377,BRONX ACADEMY OF LETTERS,51,413,381,407,1
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,76,394,400,364,0
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,47,398,416,370,0
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,114,363,368,364,0
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,s,s,s,s,1
08X282,WOMEN S ACADEMY OF EXCELLENCE,44,407,,378,1
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER   TECHNOLOGY,52,384,385,389,0
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,41,416,390,349,1
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,67,337,361,340,0
08X312,MILLENNIUM ART ACADEMY,67,387,402,375,0
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,39,363,371,350,0
08X367,ARCHIMEDES ACADEMY FOR MATH  SCIENCE AND TECHNOLOGY APPLICATIONS,s,s,s,s,0
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY  A COLLEGE BOARD SCHOOL,s,s,s,s,0
08X377,BRONX COMMUNITY HIGH SCHOOL,9,367,432,376,1
08X405,HERBERT H. LEHMAN HIGH SCHOOL,415,412,436,393,0
08X408,HERBERT H. LEHMAN YABC,6,402,373,413,0
BRONX BRIDGES HIGH SCHOOL,08X432,s,s,s,s,1
08X452,,39,369,371,365,1
08X507,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,s,s,s,s,1
08X519,FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY  THE,68,370,373,356,1
08X530,BANANA KELLY HIGH SCHOOL,54,373,381,377,0
08X537,BRONX ARENA HIGH SCHOOL,s,s,s,s,0
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,16,366,400,368,0
08X560,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,9,404,368,399,0
23K493,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,78,377,359,376,1
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,39,324,376,3v9,1
09X231,EAGLE ACADEMY FOR YOUNG MEN,404,373,387,374,1
09X239,URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN  THE,33,372,355,357,0
09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE  THE,80,411,464,415,0
0X250,EXIMIUS COLLEGE PREPARATORY ACADEMY  A COLLEGE BOARD SCHOOL,50,393,394,382,1
09X2C2,MOTT HALL BRONX HIGH SCHOOL,67,369,367,356,1
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,81,,480,457,1
09X236,VALIDUS PREPARATORY ACADEMY  AN EXPEDITIONARY LEARNING SCHOOL,74,,363,356,1
09X276,LEADERSHIP INSTITUTE,30,361,353,367,0
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,38,386,38,376,1
09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING   LEARNING,s,s,s,s,0
09X329,DREAMYARD PREPARATORY SCHOOL,51,382,365,391,0
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,54,339,315,297,1
09X403,BRONX INTERNATIONAL HIGH SCHOOL,49,314,312,398,1
09X404,SCHOOL FOR EXCELLENCE,32,363,360,351,0
09X412,BRONX HIGH SCHOOL OF BUSINESS,34,356,376,351,0
09X413,,64,r00,419,402,1
JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,09X414,35,379,364,379,1
09X505,BRONX SCHOOL FOR LAW  GOVERNMENT AND JUSTICE,80,404,418,402,0
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,50,368,384,491,1
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,114,384,394,388,0
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,27,353,315,371,0
10X141,RIVERDALE   KINGSBRIDGE ACADEMY  MIDDLE SCHOOL   HIGH SCHOOL 141 ,113,438,455,440,0
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,86,,412,365,1
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,59,405,391,394,0
10X237,THE MARIE CURIE SCHOOL FOR MEDICINE  NURSING  AND HEALTH PROFESSIONS,109,382,393,382,1
10X243,WEST BRONX ACADEMY FOR THE FUTURE,26,382,406,370,0
,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,52,304,356,302,1
10X284,BRONX SCHOOL OF LAW AND FINANCE,54,402,395,385,0
10X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,s,s,s,s,0
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,49,300,333,301,0
10X368,INsTECH ACADEMY  M.S.   HIGH SCHOOL 368 ,390,111,408,383,1
10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL  KAPPA ,61,39E,401,387,1
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY  ELLIS ,38,343,356,330,0
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,57,370,371,365,0
10X434,BELMONT PREPARATORY HIGH SCHOOL,51,404,418,400,0
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,48,355,350,372,0
10X438,,63,367,385,367,1
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,65,366,364,352,0
10X440,DEWITT CLINTON HIGH SCHOOL,443,419,426,410,0
10X442,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC  THE,,423,420,427,1
10X445,BRONX HIGH SCHOOL OF SCIENCE,731,632,688,649,0
10X475,JOHN F. KENNEDY HIGH SCHOOL,121,351,362,339,1
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,,414,435,414,1
10X478,LEARNING TO WORK GED AT JOHN F. KENNEDY,s,s,s,s,0
10X546,BRONX THEATRE HIGH SCHOOL,,348,362,534,1
DISCOVERY HIGH SCHOOL,10X549,55,372,379,364,1
GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,10X660,73,362,382,356,1
10X676,GRACE DODGE YABC,10,350,356,317,1
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,92,636,648,636,0
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,74,370,381,382,0
BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,11X253,46,400,357,390,1
11X265,BRONX LAB SCHOOL,81,377,391,367,0
11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP  A COLLEGE BOARD SCHOOL,56,386,394,361,0
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,72,W81,376,354,1
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,,444,471,43,1
11X290,BRONX ACADEMY OF HEALTH CAREERS,69,387,635,383,1
11X299,ASTOR COLLEGIATE ACADEMY,60,387,391,391,0
11X415,CHRISTOPHER COLUMBUS HIG SCHOOL,121,367,361,353,1
11X417,YOUNG ADULT BOROUGH CNTR CHRISTOPHER COLUMBUS HS,s,s,s,,1
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,48,419,433,416,0
03M492,HARRY S TRUMAN HIGH SCHOOL,189,386,397,368,1
11X456,LEARNING TO WORK YABC AT TRUMAN HIGH SCHOOL,s,s,s,s,0
11X513,NEW WORLD HIGH SCHOOL,72,332,381,335,0
11X514,THE BRONXWOOD PREPARATORY ACADEMY,48,377,72,363,1
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,57,492,382,375,1
11X542,PELHAM PREPARATORY ACADEMY,76,431,438,419,0
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,55,383,378,365,0
11X545,BRONX AEROSPACE HIGH SCHOOL,46,388,393,382,0
12X245,NEW DAY ACADEMY,25,348,344,354,0
12X248,METROPOLITAN HIGH SCHOOL  THE,49,347,367,341,0
12X251,EXPLORATIONS ACADEMY,57,381,381,360,0
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,30,361,353,360,0
12X267,BRONX LATIN,36,408,432,411,0
EAST BRONX ACADEMY FOR THE FUTURE,12X271,46,366,378,358,1
10X319,PEACE AND DIVERSITY ACADEMY,34,390,401,431,1
12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,30,321,351,298,0
12X428,LEARNING TO WORK YABC AT MONROE ACADEMY,79,s,s,s,1
12X446,ARHURO A. SCHOMBURG SATELLITE ACADEMY BRONX,14,380,372,349,1
12X478,THE CINEMA SCHOOL,s,s,s,s,0
12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,s,s,s,s,0
12X480,BRONX REGIONAL HIGH SCHOOL,16,398,385,398,0
12X550,HIGH SCHOOL OF WORLD CULTURES,42,304,323,312,0
1TX682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,72,342,346,l41,1
12X684,WINGS ACADEMY,66,378,374,649,1
12X60,MONROE ACADEMY FOR BUSINESS LAW,31,375,387,376,1
12X692,MONROE ACADEMY FOR VISUAL ARTS   DESIGN,43,332,357,349,0
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,29,352,349,373,0
13K336,,9,439,374,418,1
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,52,360,364,356,0
13K412,BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION  ARTS AND MEDIA,37,375,355,384,0
13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE  TECHNOLOGY AND THE CREATIVE ARTS,92,399,417,395,0
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,1277,587,659,587,0
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,90,305,364,312,0
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,105,400,417,389,0
28Q470,ACORN COMMUNITY HIGH SCHOOL,72,,364,368,1
13K509,FREEDOM ACADEMY HIGH SCHOOL,29,40A,408,403,1
13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,s,s,s,s,0
135K53,BROOKLYN ACADEMY HIGH SCHOOL,8,435,383,379,1
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,13,398,391,394,0
13K595,,89,438,443,431,1
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85,406,391,392,0
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,s,s,s,s,0
13K670,BENJAMIN BANNEKER ACADEMY,185,471,472,448,0
CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING  ARCHITECTURE  AND TECHNOLOGY,13K674,20,441,499,413,1
14K071,JUAN MOREL CAMOS SECONDARY SCHOOL,102,365,361,359,1
14K322,FOUNDATIONS ACADEMY,s,s,s,s,0
14K404,ACADEMY FOR YOUNG WRITERS,68,3B7,357,381,1
14K449,BROOKLYN LATIN SCHOOL  THE,72,586,84,570,1
14K454,GREEN SCHOOL  AN ACADEMY FOR ENVIRONMENTAL CAREERS,41,,386,396,1
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,144,364,379,371,0
14K477,SCHOOL FOR LEGAL STUDIES,134,413,396,395,0
14K478,THE HIGH SCHOOL FOR ENTERPRISE  BUSINESS AND TECHNOLOGY,142,398,421,396,0
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,42,367,373,350,0
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,72,363,385,364,0
14K561,WILLIAMSBURG PREPARATORY SCHOOL,113,397,410,380,0
14K586,LYONS COMMUNITY SCHOOL,31,380,377,355,1
14K610,AUTOMOTIVE HIGH SCHOOL,94,367,376,350,0
14K632,FRANCES PERKINS ACADEMY,12,382,372,368,0
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28,359,553,341,1
,AUTOMOTIVE HIGH SCHOOL YABC,s,s,s,s,1
15K429,NEW EXPLORERS HIGH SCHOOL,52,361,367,383,1
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,76,393,399,387,0
15K462,SECONDARY SCHOOL FOR LAW,59,398,411,,1
15K463,SECONDARY SCHOOL FOR JOURNALISn,,397,483,381,1
1K464,PARK SLOPE COLLEGIATE,72,379,416,380,1
15K497,SCHOOL FOR INTERNATIONAL STUDIES,64,405,415,392,0
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,77,398,402,385,0
15K520,PACIFIC HIGH SCHOOL,9,352,341,300,0
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,s,s,s,s,0
15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,28,368,365,368,0
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,141,426,42I,411,1
B5K667,SUNSET PARK HIGH SCHOOL,s,s,s,s,1
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,8,430,416,425,0
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,20,355,,358,1
16K455,BOYS AND GIRLS HIGH SCHOOL,131,365,370,362,0
16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,46,362,372,,1
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,12,370,372,I51,1
16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,s,s,s,s,0
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION  A COLLEGE BOARD SCHOOL,59,396,374,369,0
17K408,ACADEMY OF HOSPITALITY AND TOURISM,57,352,342,351,0
17K467,ERASMUS YABC,s,s,s,s,0
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,7,394,364,334,0
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,71,287,335,291,0
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,46,403,385,388,0
02M545,THE MICHAEL J. PETRIDES SCHOOL,35,348,381,359,1
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,38,377,40,372,1
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,73,338,349,340,0
17K539,HIGH SCHOOL FOR SERVICE   LEARNING AT ERASMUS,61,362,375,368,0
17K543,SCIENCE  TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS,69,457,462,441,0
1K544,INTERNATIONAL ARTS BUSINESS SCHOOL,54,438,,369,1
17K546,HIGH SCHOOL FOR PUBLIC SERVICE  HEROES OF TOMORROW,79,418,441,414,0
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,63,388,382,373,0
17K548,BROOKLYN SCHOOL FOR MUSIC   THEATRE,48,,393,373,1
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,16,372,356,,1
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,165,476,481,479,0
17K600,CLARA BARTON HIGH SCHOOL,259,425,43,413,1
17K625,PAUL ROBESON HIGH SCHOOL,53,365,,355,1
17K751,ACADEMY FOR HEALTH CAREERS,s,s,s,s,0
18K563,IT TAKES A VILLAGE ACADEMY,56,313,320,330,0
18K566,BROOKLYN GENERATION SCHOOL,29,374,377,394,0
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,54,383,,377,1
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,43,368,378,346,0
18K576,VICTORY COLLEGIATE HIGH SCHOOL,63,387,377,379,0
18K578,BROOKLYN BRIDGE ACADEMY,17,384,362,351,0
18K589,ARTS   MEDIA PREPARATORY ACADEMY,48,361,360,,1
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37,404,393,386,0
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,33,393,395,381,0
HIGH SCHOOL FOR MEDICAL PROFESSIONS,18K633,75,386,380,393,1
18K635,OLYMPUS ACADEMY,7,400,370,370,0
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,35,363,381,367,0
18K642,URBAN ACTION ACADEMY,40,376,385,374,0
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,12,410,403,378,0
19K409,EAST NEW YORK FAMILY ACADEMY,54,416,432,394,0
19K420,FRANKLIN K. LANE HIGH SCHOOL,s,s,s,s,0
17K600,THOMAS JEFFERSON YABC,s,s,s,s,1
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,37,341,349,333,0
