providerid(long),city,statevalue,zip_code(long),county_name,phone_number(long),conditionvalue,measureid,labelvalue(double precision)
10111,FORT PAYNE,AL,35968,DE KALB,2568453150,Blood Clot Prevention and Treatment,VTE_6,NULL
10016,ALABASTER,aAL,35007,SHELBY,3.347938701E9,Emergency Department,EDV,NULL
10016,ALABASTER,AL,35007,SHELBY,3.347938701E9,Emergency Department,ED_1b,NULL
10016,ALABASTER,AL,35007,SHELBY,2056208100,Emergency Department,ED_2b,NULL
10016,AABASTER,AoL,35007,SHELBY,2056208100,Preventive Care,IMM_2,NULL
10001.0,ALABASTER,AL,35007,SHELBY,2056208100,Preventive Care,IMM_3_OP_27_FAC_ADHPCT,NULL
10016,LAABASTER,AL,35007,SHELBY,3.347938701E9,Emergency Department,IMM_2,NULL
10016,cALABASTER,AL,35007,SHELBY,2056208100,Emergency Department,OP_18c,NULL
10078,ALABASTER,AL,35007,SHELBY,2056208100,Heart Attack or Chest Pain,OP_2,NULL
10090,ALBAASTER,AL,35007,SHELBY,2056208100,Emergency Department,OdP_22,NULL
10016,ALABASTER,AL,35007,SnHELBY,3.347938701E9,Emergency Department,OP_23,NULL
10001.0,ALABATER,AL,35007,SHELBY,2056208100,Colonoscopy care,ED_2b,NULL
10016,ALBASTER,AL,35007,SHELBY,3.347938701E9,Colonoscopy care,OP_30,NULL
10016,ALABASTR,AL,35007,SHELBY,3.347938701E9,Cataract surgery outcome,OP_31,NULL
10001.0,ALABASTRE,AL,35007,SHELBY,2056208100,Cancer care,OP_33,NULL
10049,AkLABASTER,AL,35007,SHELBY,2056208100,Heart Attack or Chest Pain,OP_3b,NULL
10001.0,AbLABASTER,AL,35007,SHELBY,2056208100,Heart Attack or Chest Pain,OP_5,NULL
10016,ALABASTER,AL,35042,SHELBY,3.347938701E9,Pregnancy and Delivery Care,PC_01,NULL
10016,ALBASTER,AL,35007,SHELBY,3.347938701E9,Sepsis Care,ED_2b,NULL
10016,ALABASER,AL,35007,SHELBY,2056208100,Blood Clot Prevention and Treatment,VTE_6,NULL
10018,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Emergency Department,IMM_2,NULL
10018,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Emergency Department,ED_1b,NULL
10018,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Emergency Department,ED_2b,NULL
10018,BIRMINGHAM,AL,32233,JEFFERSON,3.347938701E9,Preventive Care,ED_2b,NULL
10001.0,BIRINGHAM,AL,35233,JEFFERSON,2053258100,Preventive Care,IMM_3_OP_27_FAC_ADHPCT,NULL
10001.0,BIRMINGHAM,AL,36301.0,JEFFERSON,2053258100,Emergency Department,OP_8b,NULL
10001.0,BIRMINGHAM,AL,36301.0,JEFFERSON,2053258100,Emergency Department,OP_18c,NULL
10001.0,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Heart Attack or Chest Pain,OP_2,NULL
10101,BIRMINcGHAM,AL,35233,JEFFERSON,2053258100,Emergency Department,OP_22,NULL
10001.0,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Emergency Department,O_23,NULL
10018,BIRMINGHAM,AL,36301.0,JEFFERSON,3.347938701E9,Colonoscopy care,OP_29,NULL
10001.0,BIRMINGHAM,AL,35233,JEFFERSON,3.347938701E9,Colonoscopy care,OP_30,NULL
10030,BRMINGHAM,AL,35233,JEFFERSON,2053258100,Cataract surgery outcome,OP_31,NULL
10001.0,BIRMINHGAM,AL,35233,JEFFERSON,2053258100,Cancer care,OP_33,NULL
10001.0,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Heart Attack or Chest Pain,OP_3b,NULL
10104,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Heart Attack or Chest Pain,OP_5,NULL
10098,BIRMINGHAM,AL,36301.0,JEFFERSON,2053258100,Pregnancy and Delivery Care,PC_01,NULL
10018,BIMINGHAM,AL,36301.0,JEFFERSON,2053258100,Sepsis Care,SEP_1,NULL
10109,IRMINGHAM,AL,35233,JEFFERSON,2053258100,Blood Clot Prevention and Treatment,VTE_6,NULL
10019,SHEFFIELD,AL,35660,COLBERT,2563864556,Emergency Departmnet,EDV,NULL
10019,SHEFFIELD,AL,35660,COLBERT,2563864556,Emergency Department,ED_1b,NULL
10001.0,SHEFFIELD,AL,35660,COLBERT,2563864556,Emergency Department,ED_2b,NULL
10019,SHEFFIELD,AL,35660,COLBERT,2563864556,Preventive Care,IMM_2,NULL
10001.0,SHEFFIELD,AL,35660,COLBERT,2563864556,Preventive Care,IMM_3_OP_27_FAC_ADHPCT,NULL
10001.0,SHEFFIELD,AL,35660,COLBERT,2563864556,Emergency Department,OP_18b,NULL
10001.0,SHEFFIELD,AL,35660,COLBERT,3.347938701E9,Emergency Department,OP_18c,NULL
10114,SHEFFIELD,AL,35660,COLBERT,2563864556,Heart Attack or Chest Pain,OP_2,NULL
10103,SHEFFIELD,AL,35660,COLBERT,2563864556,Emergency Department,OP_22,NULL
10019,SHEFFIELD,AL,35660,COLBERT,2563864556,Emergency Department,OP_23,NULL
10045,SHEFFIELD,AL,35660,COLBERT,2563864556,Colonoscopy care,OP_29,NULL
10019,SHEFFIELD,AL,35660,COLBERT,2563864556,Colonoscopy care,OP_30,NULL
10001.0,SHEFFIELD,AL,35660,COLBERT,2563864556,Cataract surgery outcome,OP_31,NULL
10001.0,SHEFFIELD,AL,35660,COLBERT,2563864556,Cancer care,OP_33,NULL
10093,SHEFFIELD,AL,35660,COLBERT,2563864556,Heart Attack or Chest Pain,OP_3b,NULL
10001.0,SHEFFIELD,AL,35660,COLBERT,2563864556,Heart Attack or Chest Pain,OP_5,NULL
10001.0,SHEFFIELD,AL,35660,COLBERT,3.347938701E9,Pregnancy and Delivery Care,PC_01,NULL
10022,SHEFFIELD,AL,35660,COLBERT,2563864556,Sepsis Care,SEP_1,NULL
10019,SHEFFIELD,AL,35660,COLBERT,3.347938701E9,Blood Clot Prevention and Treatment,VTE_6,NULL
10021,OZARK,AL,36301.0,DALE,3347742601,Emergency Department,EDV,NULL
10001.0,OZARK,AL,36360,DALE,3347742601,Emergency Department,ED_1b,NULL
10001.0,OZARK,AL,36360,DALE,3.347938701E9,Emergency Department,ED_2b,NULL
10001.0,OZAKR,AL,36360,DALE,3347742601,Preventive Care,IMM_2,NULL
10021,OZARK,AL,36360,DALE,3347742601,Preventive Care,IMM_3_OP_27_FAC_ADHPCT,NULL
10001.0,OZARK,AL,36360,DALE,3347742601,Emergency Department,OP_18b,NULL
10021,OZARK,AL,36360,DALE,3347742601,Emergency Department,OP_1c8,NULL
10035,OZARK,AL,36360,DALE,3347742601,Heart Attack or Chest Pain,OP_2,NULL
10001.0,OZARK,AL,36360,DALE,3347742601,Emergency Department,OP_22,NULL
10087,OZARK,AL,36360,DALE,3347742601,Emergency Department,OP_23,NULL
10021,OZARK,AL,36360,DALE,3347742601,Colonoscopy care,OP_29,NULL
10001.0,OZARK,L,36360,DALE,3347742601,Colonoscopy care,OP_30,NULL
10099,OZARK,AL,36360,DALE,3347742601,Cataract surgery outcome,OP_31,NULL
10050,OZARK,AL,36360,DALE,3347742601,Cancer care,OP_33,NULL
10021,OZARK,AL,36360,DALE,3.347938701E9,Heart Attack or Chest Pain,OP_3b,NULL
10001.0,OZARK,sAL,36360,DALE,3.347938701E9,Heart Attack or Chest Pain,OP_5,NULL
10001.0,OZARK,AL,36360,DALE,3347742601,Pregnancy and Delivery Care,PC_01,NULL
10001.0,OZARK,AL,36360,DALE,3347742601,Sepsis Care,SEP_1,NULL
10059,OZARK,L,36301.0,DALE,3347742601,Blood Clot Prevention and Treatment,VTE_6,NULL
10001.0,CENTRE,AL,35960,CHEROKEE,2569275531,Emergency Department,EDV,NULL
10022,CENTRE,AL,35960,CHEROKEE,2569275531,Emergency Department,ED_1b,NULL
10022,CENTRE,AL,35960,CHEROKEE,2569275531,Emergency Department,ED_2b,NULL
10001.0,CENTRE,AL,35960,CHEROKEE,2569275531,Preventive Care,IMM_2,NULL
10022,CENTRE,AL,35960,CHEROKEE,2569275531,Preventive Care,IMM_3_OP_27_FAC_ADHPCT,NULL
10095,CENTRE,AL,35960,CHEROKEE,2569275531,Emergency Department,OP_18b,NULL
10022,CENTRE,AL,35960,CHEROKEE,2569275531,Emergency Department,PO_18c,NULL
10022,CENTRE,AL,35960,CHEROKEE,3.347938701E9,Heart Attack or Chest Pain,OP_2,NULL
10067,CENTRE,LA,35960,CHEROKEE,2569275531,Emergency Department,OP_22,NULL
10001.0,CENTRE,AL,35960,CHEROKEE,3.347938701E9,Emergency Department,OP_23,NULL
10001.0,CENTRE,AL,35960,CHEROKEE,2569275531,Colonoscopy care,OP_29,NULL
10001.0,CENTRE,AL,35960,CHEROKEE,3.347938701E9,Colonoscopy care,OP_30,NULL
10001.0,CENTRE,AL,35960,CHEROKEE,3.347938701E9,Cataract surgery outcome,OP_31,NULL
10001.0,CENTRE,AL,35960,CHEROKEE,2569275531,Cancer care,OP_33,NULL
10022,CENTRE,AL,35960,CHEROKEE,3.347938701E9,Heart Attack or Chest Pain,OP_3b,NULL
10001.0,CENTRE,AL,35960,CHEROKEE,2569275531,Heart Attack or Chest Pain,OP_5,NULL
10001.0,CENTRE,L,35960,CHEROKEE,3.347938701E9,Pregnancy and Delivery Care,PC_01,NULL
10001.0,CENTRE,AL,35960,CHEROKEE,3.347938701E9,Sepsis Care,SEP_1,NULL
10001.0,CENTRE,AL,35960,CHEROKEE,2569275531,Blood Clot Prevention and Treatment,VTE_6,NULL
10023,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Emergency Department,EDV,NULL
10001.0,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Emergency Department,ED_1b,NULL
10023,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Emergency Department,ED_2b,NULL
10001.0,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Preventive Care,IMM_2,NULL
10023,MNTGOMERY,AL,36116,MONTGOMERY,3.347938701E9,Preventive Care,IMM_3_OP_27_FAC_ADHPCT,NULL
10023,MONTGOMERY,AL,36116,MONTGOMERY,3.347938701E9,Emergency Department,OP_18b,NULL
10001.0,MONTGOMERY,AL,36116,MONTGOMERY,3.347938701E9,Emergency Department,OP_18c,NULL
10023,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Heart Attack or Chest Pain,OP_2,NULL
10001.0,MONTGOMERY,AlL,36116,MONTGOMERY,3342882100,Emergency Department,OP_22,NULL
10001.0,MONTGOMERY,AL,36116,MONTGOMERY,3.347938701E9,Emergency Department,OP_2h3,NULL
10023,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Colonoscopy care,OP_y29,NULL
10023,MONTGOMERY,AL,36116,MONTGOMERY,3.347938701E9,Colonoscopy care,OP_30,NULL
10023,MONTGOMERY,AL,36301.0,MONTGOMERY,3.347938701E9,Cataract surgery outcome,OP_31,NULL
10023,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Cancer care,OP_33,NULL
10023,MONTGOMERY,LA,36116,MONTGOMERY,3.347938701E9,Heart Attack or Chest Pain,OP_3b,NULL
10001.0,MONTGOMERY,AL,36116,MONTGOMERY,3.347938701E9,Heart Attack or Chest Pain,OP_5,NULL
10001.0,MONTGOMERY,jAL,36116,MONTGOMERY,3.347938701E9,Pregnancy and Delivery Care,PC_01,NULL
10023,MONTGOMEYR,AL,36116,MONTGOMERY,3342882100,Sepsis are,SEP_1,NULL
10001.0,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Blood Clot Prevention and Treatment,VTE_6,NULL
10024,MONTGOMERY,LA,36106,MONTGOMERY,3.347938701E9,Emergency Department,EDV,NULL
10024,MONTGOMERY,AL,36106,MONTGOMERY,3.347938701E9,Emegency Department,ED_1b,NULL
10024,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Emergency Department,ED_2b,NULL
10001.0,MONTGOMERY,AL,36301.0,MONTGOMERY,3342938000,Preventive Care,IMM_2,NULL
10024,MONTGOMERY,AL,36106,MONTGOMERY,3.347938701E9,Preventive Care,IMM_3_OP_27_FAC_ADHPCT,NULL
10024,MONTGOMERY,AL,36106,MONTGOMERY,3.347938701E9,Emergency Department,OP_18b,NULL
10001.0,MNOTGOMERY,AL,36106,MONTGOMERY,3342938000,Emergency Department,OP_18c,NULL
10001.0,MONTGOMERY,LA,36106,MONTGOMERY,3.347938701E9,Heart Attack or Chest Pain,O_2,NULL
10024,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Emergency Department,OP_22,NULL
10024,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Emergency Department,OP_23,NULL
10001.0,MONTGOMERY,xAL,36106,MONTGOMERY,3.347938701E9,Colonoscopy care,OP_29,NULL
10001.0,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Colonoscopy care,OP_30,NULL
10001.0,MONTGOMERY,AL,36106,MONTGOMERY,3.347938701E9,Cataract surgery outcome,OP_31,NULL
10024,MONTGOMERY,AL,36106,MOTNGOMERY,3342938000,Cancer care,OP_33,NULL
10024,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Heart Attack or Chest Pain,OP_3b,NULL
10024,MONTGOMERY,AL,36301.0,MONTGOMERY,3342938000,Heart Attack or Chest Pain,OP_5,NULL
10001.0,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Pregnancy and Delivery Care,PC_01,NULL
10024,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Sepsis Care,SEP1_,NULL
10024,MONpTGOMERY,AL,36106,MONTGOMERY,3342938000,Blood Clot Prevention and Treatment,VTE_6,NULL
10029,OPELIKA,AL,36801,LEE,3347493411,Emergency Department,EDV,NULL
10029,OPELIAK,AL,36801,LEE,3347493411,Emergency Department,ED_1b,NULL
10029,OPELIKA,AL,36801,LEE,3347493411,Emergency Department,ED_2b,NULL
10029,OPELIKA,AL,36801,LEE,3347493411,Preventive Care,IMM_2,NULL
10029,OPELIKA,AL,36801,LEE,3347493411,Preventive Care,IMM_3_OP_27_FAC_ADHPCT,NULL
10029,OPELIKA,AL,36801,LEE,3347493411,Emergency Department,OP_18b,NULL
10029,OPELIKA,AL,36801,LEE,3347493411,Emergency Department,OP_18c,NULL
10029,OPELIKA,AL,36801,LEE,3.347938701E9,Heart Attack or Chest Pain,OP_2,NULL
10029,OPELIKA,AL,36801,LEE,3347493411,Emergency Department,OP_22,NULL
10001.0,OPELIKA,AL,36801,LEE,3.347938701E9,Emergency Department,OP_23,NULL
