license(long),dba_name,aka_name,facility_type,risk,address,city,statevalue,zip(long),inspectionid(long),labelvalue(double precision)
9,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDOCOFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),116 S MICHIGAN AVE ,CHICAGO,IL,60603,1684285.0,NULL
9,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),116 S MICHIGAN AVE ,CHICAGO,IL,60603,2050308.0,NULL
9,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),116 S MICHIGAN AVE ,CHICAGO,IL,60603,1970312.0,NULL
9,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),116 S MICHIGAN AVE ,CHICAGO,IL,60603,2320935.0,NULL
9,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),116 S MICHIGAN AVE ,CHICAGO,IL,60603,1970902.0,NULL
9,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),116 S MICHIGAN AVE ,qCHICAGO,IL,60603,2320935.0,NULL
9,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),116 S MICHIGAN AVE ,CIHCAGO,IL,60603,1447571.0,NULL
9,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),116 S MICHIGAN AVE ,CHICGAO,IL,60603,1977093.0,NULL
9,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),116 S MICHIGAN AVE ,qCHICAGO,IL,60603,2320935.0,NULL
9,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),116 S MICHIGAN AVE ,CHIiCAGO,IL,60603,567429,NULL
9,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),116 S MICHIGAN AVE ,CHICvAGO,IL,60603,2144871.0,NULL
40,COSI,COSI,Restaurant,Risk 1 (High),233 N MICHIGAN AVE ,CHICAGO,IL,60601,2359437,NULL
40,COSI,COSI,Restaurant,Risk 1 (High),233 N MICHIGAN AVE ,CHICAGO,IL,60601,1970902.0,NULL
40,COSI,COSI,Restaurant,Risk 1 (High),233 N MICHIGAN AVE ,CHICAGO,IL,60601,2320935.0,NULL
40,COSI,COSI,Restaurant,Risk 1 (High),233 N MICHIGAN AVE ,CHICApGO,LI,60601,1607237.0,NULL
40,COIS,COSI,Restaurant,Risk 1 (High),233 N MICHIGAN AVE ,CHICAGO,IL,60601,2320935.0,NULL
40,COSI,COSI,Restaurant,Risk 1 (High),233 N MICHIGAN AVE ,CHICAjGO,IL,60601,2050308.0,NULL
40,COSI,COSI,Restaurant,Risk 1 (igh),233 N MICHIGAN AVE ,CHICGAO,LI,60601,1970902.0,NULL
40,COSI,COSI,Restaurant,Risk 1 (High),233 N MICHIGAN AVE ,CICAGO,IL,60601,2050308.0,NULL
40,COSI,COSI,Restaurant,Risk 1 (High),233 N MICHIGAN AVE ,CHICAGO,IL,60601,1995576,NULL
40,COSI,COSI,Restaurant,Risk 1 (High),233 N MICHIGAN AVE ,CHdICAGO,IL,60601,1970902.0,NULL
40,COSI,COSI,Restaurant,iRsk 1 (High),233 N MICHIGAN AVE ,kCHICAGO,IL,60601,1977093.0,NULL
40,COSI,COSI,Restaurant,Risk 1 (High),233 N MICHIGAN AVE ,CHICAGiO,IL,60601,1522306,NULL
40,COSI,COSI,Restaurant,Risk 1 (High),233 N MICHIGAN AVE ,CHICAOG,IL,60601,2320935.0,NULL
40,COSI,COSI,Restaurant,Risk 1 (High),233 N MICHIGAN AVE ,CHICGO,IL,60601,2320935.0,NULL
40,COSI,COIS,Restaurant,Risk 1 (High),233 N MICHIGAN AVE ,HICAGO,IL,60601,1324763,NULL
40,COSI,COSI,Restaurant,Risk 1 (High),233 N MICHIGAN AVE ,HCICAGO,IL,60601,1684285.0,NULL
40,COSI,COSI,Restaurant,Risk 1 (High),233 N MICHIGAN AVE ,CHIAGO,IL,60601,2050308.0,NULL
40,COSI,COSI,Restaurant,Risk 1 (High),233 N MICHIGAN AVE ,CHICAGpO,IL,60601,1970312.0,NULL
40,COSI,COSI,Restaurant,Risk 1 (High),233 N MICHIGAN AVE ,HCICAGO,IL,60601,1607237.0,NULL
40,COSI,COSI,Restaurant,Risk 1 (High),233 N MICHIGAN AVE ,CHCIAGO,IL,60601,1970312.0,NULL
40,COSI,COSI,Restaurant,Risk 1 (High),233 N MICHIGAN AVE ,CHICAGfO,IL,60601,2050308.0,NULL
62,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),230 W WASHINGTON ST ,CHICAGO,IL,60606,1977093.0,NULL
62,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),230 W WASHINGTON ST ,CHICAGO,IL,60606,2320472,NULL
62,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),230 W WASHINGTON ST ,CHICGO,IL,60606,2144871.0,NULL
62,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),230 W WASHINGTON ST ,CHICAGO,IL,60606,1977093.0,NULL
62,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),230 W WASHINGTON ST ,CHIAGO,IL,60606,1982900,NULL
62,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),230 W WASHINGTON ST ,CHICAO,IL,60606,2144871.0,NULL
62,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),230 W WASHINGTON ST ,CHICAGO,IL,60606,1970515,NULL
62,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (igh),230 W WASHINGTON ST ,CHCIAGO,IL,60606,1607237.0,NULL
62,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),230 W WASHINGTON ST ,CHICAGO,IL,60606,2320935.0,NULL
62,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),230 W WASHINGTON ST ,CHICAGO,IL,60606,2050308.0,NULL
62,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SNADWICH BAR,Restaurant,Risk 1 (High),230 W WASHINGTON ST ,CHICAGO,IL,60606,2144871.0,NULL
62,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),230 W WASHINGTON ST ,CHICAGO,IL,60606,2050308.0,NULL
62,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),230 W WASHINGTON ST ,CHICAGO,IL,60606,1324817,NULL
62,XANDO COFFEE & BAR  COS ISANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),230 W WASHINGTON ST ,CHICAGO,IL,60606,2144871.0,NULL
62,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),230 W WASHINGTON ST ,CHICAGO,IL,60606,2144871.0,NULL
62,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),230 W WASHINGTON ST ,CHICAgGO,IL,60606,614217,NULL
62,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),230 W WASHINGTON ST ,CHICAGO,IL,60606,229498,NULL
62,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),230 W WASHINGTON ST ,CHICAGO,IL,60606,2320935.0,NULL
85,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),55 E GRAND AVE ,CHICAGO,IL,60611,2320935.0,NULL
85,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),55 E GRAND AVE ,CHICAGO,IL,60611,1138213,NULL
85,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),55 E GRAND AVE ,CHICAGO,IL,60611,1970312.0,NULL
85,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),55 E GRAND AVE ,CHICAGO,IL,60611,1970312.0,NULL
85,XANDO COFFEE & BAR  COSI SANDWICH BAR,XANDO COFFEE & BAR  COSI SANDWICH BAR,Restaurant,Risk 1 (High),55 E GRAND AVE ,CHICAGO,IL,60611,1607237.0,NULL
99,XANDO CObFFEE & BAR  COSI SANDWICH BAR,COSI,Restaurant,Risk 1 (High),203 N LA SALLE ST ,CHICAGO,IL,60601,1982143,NULL
99,XANDO COFFEE & BAR  COSI SANDWICH BAR,COSI,Restaurant,Risk 1 (High),203 N LA SALLE ST ,CHICAGO,IL,60601,1689304,NULL
99,XANDO COFFEE & BAR  COSI SANDWICH BAR,COSI,Restaurant,Risk 1 (High),203 N LA SALLE ST ,CHICAGO,jIL,60601,2320935.0,NULL
99,XANDO COFFEE & BAR  COSI SANDWICH BAR,COSI,Restaurant,Risk 1 (High),203 N LA SALLE ST ,CHICAGO,IL,60601,2320935.0,NULL
99,XANDO COFFEE & BAR  COSI SANDWICH BAR,COSI,Restaurant,Risk 1 (High),203 N LA SALLE ST ,CHICAGO,IL,60601,1447571.0,NULL
99,XANDO COFFEE & BAR  COSI SANDWICH BAR,COSI,Restaurant,Risk 1 (High),203 N LA SALLE ST ,CHICAGO,IL,60601,2320935.0,NULL
99,XANDO COFFEE & BAR  COSI SANDWICH BAR,COSI,Restaurant,Risk 1 (High),203 N LA SALLE ST ,CHICAGO,IL,60601,1345719,NULL
99,XANDO COFFEE & BAR  COSI SANDWICH BAR,COSI,Restaurant,Risk 1 (High),203 N LA SALLE ST ,CHICAGO,IL,60601,2050308.0,NULL
99,XANDO COFFEE & BAR  COSI SANDWICH BAR,COSI,Restaurant,Risk 1 (High),203 N LA SALLE ST ,CHICAGO,IL,60601,1607237.0,NULL
99,XANDO COFFEE & BAR  COSI SANDWICH BAR,COSI,Restaurant,Risk 1 (High),203 N LA SALLE ST ,CHICAGO,IL,60601,2050308.0,NULL
35636,XANDO COFFEE & BAR  COSI SANDWICH BAR,COSI,Restaurant,Risk 1 (High),203 N LA SALLE ST ,CHICAGO,IL,60601,1977093.0,NULL
99,XANDO COFFEE & BAR  COSI SANDWICH BAR,COSI,Restaurant,Risk 1 (High),203 N LA SALLE ST ,CHICAGO,IL,60601,409529,NULL
99,XANDO COFFEE & BAR  COSI SANDWICH BAR,COSI,Restaurant,Risk 1 (High),203 N LA SALLE ST ,CHICAGO,IL,60601,197244,NULL
115,JOHN SCHALLER,JOHN SCHALLER,Restaurant,Risk 1 (High),3714 S HALSTED ST ,CHICAGO,IL,60609,1607237.0,NULL
-14483,JOHN SCHALLER,JOHN SCHALLER,Restaurant,Risk 1 (High),3714 S HALSTED ST ,CHICAGO,IL,60609,2176791,NULL
115,JOHN SCHALLER,JOHN SCHALLER,Restaurant,Risk 1 (High),3714 S HALSTED ST ,CHICAGO,IL,60609,2116410,NULL
115,JOHN SCHALLER,JOHN SCHALLER,Restaurant,Risk 1 (High),3714 S HALSTED ST ,CHICAGO,IL,60609,2098924,NULL
115,JOHN SCHALLER,JOHN SCHALLER,Restaurant,Risk 1 (High),3714 S HALSTED ST ,CHICAGO,IL,60609,1955428,NULL
115,JOHN SCHALLER,JOHN SCHALLER,Restaurant,Risk 1 (Hihg),3714 S HALSTED ST ,CHICAGO,IL,60609,2320935.0,NULL
115,JOHN SCHALLER,JOHN SCHALLER,Restaurant,Risk 1 (High),3714 S HALSTED ST ,CHICAGO,IL,60609,1607237.0,NULL
115,JOHN SCHALLER,JOHN SCHALLER,Restaurant,Risk 1 (High),3714 S HALSTED ST ,CHICAGO,IL,60609,1459773,NULL
115,JOHN SCHALLER,JOHN SCHALLER,Restaurant,Risk 1 (High),3714 S HALSTED ST ,CHICAGO,IL,60609,1227729,NULL
115,JOHN SCHALLER,JOHN SCHALLER,Restaurnat,Risk 1 (High),3714 S HALSTED ST ,CHICAGO,IL,60609,585989,NULL
115,JOHN SCHALLER,JOHN SCHALLER,Restaurant,Risk 1 (High),3714 S HALSTED ST ,CHICAGO,IL,60609,2320935.0,NULL
126,CALS 400 LIQUORS INC,CALS 400 LIQUORS INC,Restaurant,Risk 3 (Low),400 S WELLS ST ,CHICAGO,IL,60607,2050308.0,NULL
126,CALS 400 LIQUORS INC,CALS 400 LIQUORS INC,Restaurant,Risk 3 (Low),400 S WELLS ST ,CHICAGO,IL,60607,2320935.0,NULL
139,KILDARE LIQUORS,KILDARE LIQUORS,Restaurant,Risk 1 (High),4300 W LAWRENCE AVE ,CHICAGO,IL,60630,2320935.0,NULL
139,KILDARE LIQUORS,KILDARE LIQUORS,Restaurant,Risk 1 (High),4300 W LAWRENCE AVE ,CHICAGO,IL,60630,1977093.0,NULL
139,KILDARE LIQUORS,KILDARE LIQUORS,Restaurant,Risk 1 (High),4300 W LAWRENCE AVE ,CHICAGO,IL,60630,2320935.0,NULL
149,FOXS BEVERLY PUB,FOXS BEVERLY PUB,Restaurant,Risk 1 (High),9956 S WESTERN AVE ,CHICAGO,IL,60643,2144871.0,NULL
149,FOXS BEVERLY PUB,FOXS BEVERLY PUB,Restaurant,Risk 1 (High),9956 S WESTERN AVE ,CHICAGO,IL,60643,2144871.0,NULL
149,FOXS BEVERLY PUB,FOXS BEVERLY PUB,Restaurant,Risk 1 (High),9956 S WESTERN AVE ,HCICAGO,IL,60643,2144871.0,NULL
149,FOXS EBVERLY PUB,FOXS BEVERLY PUB,Restaurant,Risk 1 (High),9956 S WESTERN AVE ,CHICAGO,IL,60643,2144871.0,NULL
149,FOXS BEVERLY PUB,FOXS BEVERLY PUB,Restaurant,Risk 1 (High),9956 S WESTERN AVE ,CHICAGO,xIL,60643,2262009,NULL
149,FOS BEVERLY PUB,FOXS BEVERLY PUB,Restaurant,Risk 1 (High),9956 S WESTERN AVE ,CHICAGO,IL,60643,2261523,NULL
149,FOXS BEVERLY PUB,FOXS BEVERLY PUB,Restaurant,Risk 1 (High),9956 S WESTERN AVE ,CHICAGO,IL,60643,2320935.0,NULL
149,FOXS BEVERLY PUB,FOXS BEVERLY PUB,Restaurant,Risk 1 (High),9956 S WESTERN AVE ,CHICAGO,IL,60643,1684285.0,NULL
149,FOXS BEVERLY PUB,FOXS BEVERLY PUB,Restaurant,Risk 1 (High),9956 S WESTERN AVE ,CHICAoGO,IL,60643,1932908,NULL
149,FOXS BEVERLY PUB,FOXS BEVERLY PUB,Restaurant,Risk 1 (High),9956 S WESTERN AV E,CHICAGO,IL,60643,1578220,NULL
149,FOXS BEVERLY PUB,FOXS BEVERLY PUB,Restaurant,Risk 1 (High),9956 S WESTERN AVE ,CHICAGO,IL,60643,2050308.0,NULL
149,FOXS BEVERLY PUB,FOXS BEVERLY PUB,Restaurant,Risk 1 (High),9956 S WESTERN AVE ,CHICAGO,IL,60643,2320935.0,NULL
149,FOXS BEVERLY PUB,FOXS BEVERLY PUB,Restaurant,Risk 1 (High),9956 S WESTERN AVE ,CbHICAGO,IL,60643,2050308.0,NULL
149,FOXS BEVERLY PBU,FOXS BEVERLY PUB,Restaurant,Risk 1 (High),9956 S WESTERN AVE ,CHICAGO,IL,60643,1353716,NULL
149,FOXS BEVERLY PUB,FOXS BEVERLY PUB,Restalurant,Risk 1 (High),9956 S WESTERN AVE ,CHICAGO,IL,60643,2320935.0,NULL
149,FOXS BEVERLY PUB,FOXS BEVERLY PUB,Restaurant,Risk 1 (High),9956 S WESTERN AVE ,CHICAGO,IL,60643,1150331,NULL
149,FOXS BEVERLY PUB,FOXS BEVERLY PUB,Restaurant,Risk 1 (High),9956 S WESTERN AVE ,CHICAGO,IL,60643,2320935.0,NULL
149,FOXS BEVERLY PUB,FOXS BEVERLY PUB,Restaurant,Risk 1 (High),9956 S WESTERN AVE ,CHICAGO,IL,60643,1977093.0,NULL
149,FOXS BEVERLY PUB,FOXS BEVERLY PUB,Restaurant,Risk 1 (High),9956 S WESTERN AVE ,CHICAGO,IL,60643,276982,NULL
149,FOXS BEVERLY PUB,FOXS BEVERLY PUB,Restaurant,Risk 1 (High),9956 S WESTERN AVE ,CHICAGO,IL,60643,2320935.0,NULL
153,JEFFERY PUB,JEFFERY PUB,TAVERN,Risk 3 (Low),7041 S JEFFERY BLVD ,CHICAGO,IL,60649,1418938.0,NULL
153,JEFFERY PUB,JEFFERY PUB,TAVERN,Risk 3 (Low),7041 S JEFFERY BLVD ,CHlICAGO,IL,60649,1684285.0,NULL
158,BURWOOD TAP,BURWOOD TAP,Restaurant,Risk 3 (Low),724 W WRIGHTWOOD AVE ,CHICAGO,pIL,60614,680088.0,NULL
158,BURWOOD TAP,BURWOOD TAP,Restaurant,Risk 3 (Low),724 W WRIGHTWOOD AVE ,CHICAGO,IL,60614,1977093.0,NULL
158,BURWOOD TAP,BURWOOD TAP,Restaurant,Risk 3 (Low),724 W WRIGHTWOOD AVE ,CHICAGO,IL,60614,1684285.0,NULL
158,BURWOOD TAP,BURWOOD TAP,Restaurant,Risk 3 (Low),724 W WRIGHTWOOD AVE ,CHICAGO,IL,60614,1965468,NULL
158,BURWOOD TAP,BURWOOD TAP,Restaurant,Risk 3 (Low),724 W WRIGHTWOOD AVE ,CHICAGO,IL,60614,2144871.0,NULL
158,BURWOOD TAP,BURWOOD TAP,Restaurant,Risk 3 (Low),724 W WRIGHTWOOD AVE ,CHICAGO,IL,60614,1576204,NULL
158,BURWOOD TAP,BURWOOD TAP,Restaurant,Risk 3 (Low),724 W WRIGHTWOOD AVE ,CHICAGO,IL,60614,1566460,NULL
158,BURWOOD TAP,BURWOOD TAP,Restaurant,Risk 3 (Low),724 W WRIGHTWOOD AVE ,CHICAGO,IL,60614,2050308.0,NULL
158,BURWOOD TAP,BURWOOD TAP,Restaurant,Risk 3 (Low),724 W WRIGHTWOOD AVE ,CHICAGO,IL,49059,2181605.0,NULL
158,BURWOOD TAP,BURWOOD TAP,Restaurant,Risk 3 (Low),724 W WRIGHTWOOD AVE ,CHICAGO,IL,60614,2320935.0,NULL
158,BURWOOD AP,BURWOOD TAP,Restaurant,Risk 3 (Low),724 W WRIGHTWOOD AVE ,CHICAGO,IL,60614,1324763.0,NULL
164,POTASH BROS SUPERMARKET,POTASH BROS SUPERMARKET,Grocery Store,Risk 1 (High),1525 N CLARK ST ,CHICAGO,IL,60610,2473154,NULL
164,POTASH BROS SUPERMARKET,POTASH BROS SUPERMARKET,Grocery Store,Risk 1 (High),1525 N CLARK ST ,CHICAGO,IL,60610,2050308.0,NULL
164,POTASH BROS SUPERMARKET,POTASH BROS SUPERMARKET,Grocery Store,Risk 1 (High),1525 N CLARK ST ,CHICAGO,IL,60610,2291052,NULL
164,POTASH BROS SUPERMARKET,POTASH BROS SUPERMARKET,Grocery Store,Risk 1 (High),1525 N CLARK ST ,CHICAGO,IL,60610,2050308.0,NULL
164,POTASH BROS SUPERMARKET,POTASH BROS SUPERMARKET,Grocery Store,Risk 1 (High),1525 N CLARK ST ,CHICAGO,IL,60610,2320935.0,NULL
164,POTASH BROS SUPERMARKET,POTASH BROS SUPERMARKET,Grocery Store,Risk 1 (High),1525 N CLARK ST ,CHICAGO,IL,60610,2243574,NULL
164,POTASH BROS SUPERMARKET,POTASH BROS SUPERMARKET,Grocery Store,Risk 1 (High),1525 N CLARK ST ,CHICAGO,IL,60610,2167114,NULL
164,POTASH BROS SUPERMARKET,POTASH BROS SUPERMARKET,Grocery Store,Risk 1 (High),1525 N CLARK ST ,CHICAGO,IL,60610,1977093.0,NULL
164,POTASH BROS SUPERMARKET,POTASH BROS SUPERMARKET,Grocery Store,Risk 1 (High),1525 N CLARK ST ,CHICAGO,IL,60610,1974320,NULL
164,POTASH BROS SUPERMARKET,POTASH BROS SUPERMARKET,Grocery Store,Risk 1 (High),1525 N CLARK ST ,CHICAGO,IL,60610,1447264.0,NULL
164,POTASH BROS SUPERMARKET,POTASH BROS SUPERMARKET,Grocery Store,Risk 1 (High),1525 N CLARK ST ,CHICAGO,IL,60610,2320935.0,NULL
164,POTASH BROS SUPERMARKET,POTASH BROS SUPERMARKET,Grocery Store,Risk 1 (High),1525 N CLARK ST ,CHICAGO,IL,60610,1418938.0,NULL
164,POTASH BROS SUPERMARKET,POTASH BROS SUPERMARKET,Grocery Store,Risk 1 (High),1525 N CLARK ST ,CHICAGO,IL,60610,2144871.0,NULL
164,POTASH BROS SUPERMARKET,POATSH BROS SUPERMARKET,Grocery Store,Risk 1 (High),1525 N CLARK ST ,CHICAGO,IL,60610,2472642.0,NULL
164,POTASH BROS SUPERMARKET,POTASH BROS SUPERMARKET,Grocery Store,Risk 1 (High),1525 N CLARK ST ,CHICAGO,IL,60610,2144871.0,NULL
164,POTASH BROS SUPERMARKET,POTASH BROS SUPERMARKET,Grocery Store,Risk 1 (High),1525 N CLARK ST ,CHICAGO,IL,60610,1418938.0,NULL
164,POTASH BROS SUPERMARKET,POTASH BROS SUPERMARKET,Grocery Store,Risk 1 (High),1525 N CLARK ST ,CHICAGO,IL,60610,1445236,NULL
164,POTASH BROS SUPERMARKET,PtOTASH BROS SUPERMARKET,Grocery Store,Risk 1 (High),1525 N CLARK ST ,CHICAGO,IL,60610,1491098,NULL
164,POTASH BROS SUPERMARKET,POTASH BROS SUPERMARKET,Grocery Store,Risk 1 (High),1525 N CLARK ST ,CHICAGO,IL,60610,2050308.0,NULL
164,POTASH BROS SUPERMARKET,POTASH BROS SUPERMARKET,Grocery Store,Risk 1 (High),1525 N CLARK ST ,CHICAGO,IL,60610,381341,NULL
164,POTASH BROS SUPERMARKET,POTASH BROS SUPERMARKET,Grocery Store,Risk 1 (High),152 5N CLARK ST ,CHICAGO,IL,60610,2472642.0,NULL
164,POTASH BROS SUPERMARKET,POTASH BROS SUPERMARKET,Grocery Store,Risk 1 (High),1525 N CLARK ST ,CHICAGO,IL,60610,114579,NULL
164,POTASH BROS SUPERMARKET,POTASH BROS SUPERMARKET,Grocery Store,Risk 1 (High),1525 N CLARK ST ,CHICAGO,IL,60610,2472642.0,NULL
164,POTASH BROS SUPERMARKET,POTASH BROS SUPERMARKET,Grocery Store,Risk 1 (High),1525 N CLARK ST ,CHICAGO,IL,60610,160227,NULL
207,RIVER SHANNON,RIVER SHANNON,Restaurant,Risk 2 (Medium),425 W ARMITAGE AVE ,CHICAGO,IL,60614,567429.0,NULL
207,RIVER SHANNON,RIVER SHANNON,Restaurant,Risk 2 (Medium),425 W ARMITAGE AVE ,CHICAGO,IL,60614,2320935.0,NULL
207,RIVER SHANNON,RIVER SHANNON,Restaurant,Risk 2 (Medium),425 W ARMITAGE AVE ,CHICAGO,IL,60614,2050308.0,NULL
207,RIVER SHANNON,RIVER SHANNON,Restaurant,Risk 2 (Medium),425 W ARMITAGE AVE ,CHICAGO,IL,60614,1966326,NULL
207,RIVER SHANNON,RIVER SHANNON,Restaurant,Risk 2 (Medium),425 W ARMITAGE AVE ,CHICAGO,IL,60614,2050308.0,NULL
207,RIVER SHANNON,RIVER SHANNON,Restaurant,Risk 2 (Medium),425 W ARMITAGE AVE ,CHICAGO,IL,60614,1447264.0,NULL
207,RIVER SHANNON,RIVER SHANNON,Restaurant,Risk 2 (Medium),425 W ARMITAGE AVE ,CHICAGO,IL,60614,1401950,NULL
