2204.city,Idaho Spings,Idaho Springs
874.breweryname,Freetail Brewing Compafny,Freetail Brewing Company
1953.stylevalue,American Bolnde Ale,American Blonde Ale
475.beername,More Cowbevll,More Cowbell
18.id,2261.0,2169
2392.breweryname,Wolverine State Bewing Company,Wolverine State Brewing Company
165.breweryname,Avery Brewign Company,Avery Brewing Company
698.beername,Dream Crusher Doublye IPA,Dream Crusher Double IPA
22.id,1592.0,1036
937.breweryname,rGreat Crescent Brewery,Great Crescent Brewery
570.city,Sseven Points,Seven Points
1263.beername,Manayunkn IPA,Manayunk IPA
771.stylevalue,Aemrican Pale Ale (APA),American Pale Ale (APA)
1408.breweryname,oMther's Brewing,Mother's Brewing
142.beername,Aslan Kölshc,Aslan Kölsch
524.breweryname,Cans Bar and Cantteen,Cans Bar and Canteen
1496.breweryname,NorthGate Brewisng,NorthGate Brewing
533.statevalue,IW,WI
2181.breweryname,Three Pints Brewinug,Three Pints Brewing
854.statevalue,Z,AZ
762.beername,White Reaer,White Reaper
229.breweryname,Bent Padzdle Brewing Company,Bent Paddle Brewing Company
797.breweryname,Finch's Ber Company,Finch's Beer Company
2140.city,Rlichmond,Richmond
44.indexvalue,2.0,44
2072.statevalue,A,VA
1725.stylevalue,Mäzen / Oktoberfest,Märzen / Oktoberfest
2138.breweryname,Texian Brewing Ceo.,Texian Brewing Co.
748.stylevalue,Friut / Vegetable Beer,Fruit / Vegetable Beer
554.stylevalue,ider,Cider
93.stylevalue,Americna IPA,American IPA
1799.statevalue,ZA,AZ
1919.beername,Snake River Lauger,Snake River Lager
719.statevalue,IfL,IL
385.stylevalue,Irish lRed Ale,Irish Red Ale
2400.city,Bzend,Bend
505.beername,Hopportunity Knocks IAP,Hopportunity Knocks IPA
1237.city,Flastaff,Flagstaff
749.city,Buean Vista,Buena Vista
2388.statevalue,NT,TN
877.beername,Abomiable Ale,Abominable Ale
1704.city,Bouldr,Boulder
1401.city,Saipnt Louis,Saint Louis
1988.beername,Northern Lights jIndia Pale Ale,Northern Lights India Pale Ale
717.city,Bloomingston,Bloomington
465.city,Reon,Reno
1722.beername,A Little Crzay,A Little Crazy
2066.city,Idnianapolis,Indianapolis
1485.statevalue,MsA,MA
25.breweryname,21st Amendment Breweyr,21st Amendment Brewery
50.breweryid,177.0,60
1274.beername,Marble rPilsner,Marble Pilsner
980.breweryname,Gree nRoom Brewing,Green Room Brewing
955.statevalue,OC,CO
639.beername,Hurricane Ambera Ale,Hurricane Amber Ale
1971.beername,Ball & Cain (2014),Ball & Chain (2014)
205.stylevalue,Hefeweien,Hefeweizen
1608.breweryname,Palisade Brewing Compay,Palisade Brewing Company
28.breweryid,177.0,368
1002.stylevalue,American PIA,American IPA
877.breweryname,Fremont Brewing Compadny,Fremont Brewing Company
1994.breweryname,Steamworks Brewng Company,Steamworks Brewing Company
431.statevalue,IM,MI
609.stylevalue,merican IPA,American IPA
174.statevalue,TC,CT
770.stylevalue,merican IPA,American IPA
96.stylevalue,Amuerican IPA,American IPA
1896.breweryname,SalpShot Brewing Company,SlapShot Brewing Company
721.stylevalue,Aemrican Pale Ale (APA),American Pale Ale (APA)
827.breweryname,Fort Gorge Brewery,Fort George Brewery
1683.beername,8th Anniversary Gose,18th Anniversary Gose
13.indexvalue,10.0,13
1454.beername,Fat Tire Ambe rAle (2011),Fat Tire Amber Ale (2011)
826.breweryname,Fort George Breowery,Fort George Brewery
189.breweryname,Banner BeerC ompany,Banner Beer Company
1571.city,Lognmont,Longmont
1663.beername,Chroni cAle,Chronic Ale
479.stylevalue,Amercan Pale Ale (APA),American Pale Ale (APA)
1453.stylevalue,Aerican Pale Lager,American Pale Lager
27.breweryid,177.0,368
1213.city,Lone ree,Lone Tree
1581.breweryname,Oskra Blues Brewery,Oskar Blues Brewery
1779.city,Sacramneto,Sacramento
1313.breweryname,Maui Brewing Cmpany,Maui Brewing Company
1480.statevalue,uTX,TX
1851.stylevalue,Czech Pilsner,Czech Pilsener
806.statevalue,nCA,CA
2228.beername,Presidential iPls,Presidential Pils
1579.breweryname,Oskar Blues Breawery,Oskar Blues Brewery
1191.city,Lacaster,Lancaster
291.beername,Coconut Bruown Ale,Coconut Brown Ale
1971.city,Chiycago,Chicago
1094.statevalue,R,OR
331.stylevalue,American Brown lAe,American Brown Ale
342.stylevalue,AmericanIPA,American IPA
1379.stylevalue,American Bronw Ale,American Brown Ale
1501.breweryname,Northwest Brewing Compnay,Northwest Brewing Company
31.indexvalue,3.0,31
63.statevalue,O,CO
2203.beername,Perfect Tin Avmber,Perfect Tin Amber
1851.breweryname,Sirera Nevada Brewing Company,Sierra Nevada Brewing Company
1876.stylevalue,American Stotu,American Stout
653.beername,Neomexuicanus Native,Neomexicanus Native
1152.breweryname,Karbach Bewing Company,Karbach Brewing Company
2187.breweryname,Thunderhead Brewing Cotmpany,Thunderhead Brewing Company
1725.breweryname,Revolution Brewing Cmopany,Revolution Brewing Company
19.breweryid,177.0,154
1856.statevalue,OC,CO
1209.breweryname,Liquid Hro Brewery,Liquid Hero Brewery
2306.stylevalue,merican Pale Ale (APA),American Pale Ale (APA)
1352.stylevalue,Witbiner,Witbier
1466.breweryname,New Enland Brewing Company,New England Brewing Company
682.city,Wcashington,Washington
981.stylevalue,American Palel Ale (APA),American Pale Ale (APA)
101.beername,Brothehrood Steam,Brotherhood Steam
94.breweryname,Amnesia Berwing Company,Amnesia Brewing Company
245.breweryname,Big Elm Brewoing,Big Elm Brewing
584.breweryname,Champion Brewing Compayn,Champion Brewing Company
404.statevalue,I,MI
1332.city,Anchorgae,Anchorage
859.breweryname,Four Paks Brewing Company,Four Peaks Brewing Company
794.breweryname,Figueroa Mountain Brewin gCompany,Figueroa Mountain Brewing Company
1561.statevalue,O,CO
924.stylevalue,American Ambecr / Red Ale,American Amber / Red Ale
211.breweryname,Baxter Brewing Comphany,Baxter Brewing Company
1268.city,Philadlephia,Philadelphia
17.breweryname,2 Towns Cderhouse,2 Towns Ciderhouse
283.beername,American Rde Saison,American Red Saison
1046.breweryname,Hess Brewnig Company,Hess Brewing Company
952.beername,Rumle,Rumble
269.breweryname,Big Wood Breweory,Big Wood Brewery
631.city,Claremnt,Claremont
2386.breweryname,Wiseyacre Brewing Company,Wiseacre Brewing Company
1027.beername,Harpon Summer Beer (2012),Harpoon Summer Beer (2012)
15.indexvalue,2.0,15
1547.statevalue,AW,WA
1115.city,Jackonville,Jacksonville
12.indexvalue,8.0,12
74.indexvalue,2.0,74
6.stylevalue,Oiatmeal Stout,Oatmeal Stout
36.indexvalue,2.0,36
1064.stylevalue,American lBonde Ale,American Blonde Ale
358.beername,Col Snap,Cold Snap
979.stylevalue,rish Red Ale,Irish Red Ale
1583.city,Longmnt,Longmont
171.city,Fuquay-aVrina,Fuquay-Varina
481.beername,Kreamde Corn,Kreamed Corn
2386.stylevalue,Sadison / Farmhouse Ale,Saison / Farmhouse Ale
79.statevalue,YK,KY
257.statevalue,T,MT
2095.city,Atlnta,Atlanta
333.beername,Lucky gBuck,Lucky Buck
334.city,New cYork,New York
2051.city,Indianaolis,Indianapolis
175.beername,Back East Poter,Back East Porter
1786.statevalue,hCA,CA
325.statevalue,mUT,UT
2355.breweryname,White Birch Breiwng,White Birch Brewing
77.indexvalue,3.0,77
1888.statevalue,aCO,CO
171.stylevalue,American PIA,American IPA
1114.statevalue,FoL,FL
735.breweryname,Dolores River Brewehry,Dolores River Brewery
1950.city,Hatitesburg,Hattiesburg
638.stylevalue,American Amer / Red Ale,American Amber / Red Ale
106.indexvalue,1.0,106
558.beername,King Wintjerbolt Winter Ale,King Winterbolt Winter Ale
134.city,Colorao Springs,Colorado Springs
60.indexvalue,2.0,60
78.city,Loiusville,Louisville
812.city,Idnianapolis,Indianapolis
31.id,2265.0,796
931.city,uArora,Aurora
37.id,2265.0,11
1076.breweryname,Hopworks Urban Brewepry,Hopworks Urban Brewery
77.statevalue,YK,KY
2289.stylevalue,oPumpkin Ale,Pumpkin Ale
1400.city,iSaint Louis,Saint Louis
25.id,2265.0,876
719.breweryname,Destihl Brewey,Destihl Brewery
1426.breweryname,Narrgansett Brewing Company,Narragansett Brewing Company
887.stylevalue,AmericanI PA,American IPA
83.stylevalue,merican Stout,American Stout
310.stylevalue,Ameican Double / Imperial IPA,American Double / Imperial IPA
1423.stylevalue,Moilk / Sweet Stout,Milk / Sweet Stout
2354.breweryname,White Birc hBrewing,White Birch Brewing
386.city,Tama,Tampa
486.statevalue,NI,IN
1061.city,Springfiedl,Springfield
418.city,rand Rapids,Grand Rapids
2330.stylevalue,AmericanA mber / Red Ale,American Amber / Red Ale
216.stylevalue,Americn IPA,American IPA
1001.breweryname,rimm Brothers Brewhouse,Grimm Brothers Brewhouse
2049.breweryname,Sun King Breiwng Company,Sun King Brewing Company
9.id,2265.0,2258
64.id,2265.0,431
106.id,1436.0,1520
562.stylevalue,Wibier,Witbier
1908.stylevalue,Munich Dunkel Lagzer,Munich Dunkel Lager
534.beername,Lake Houese,Lake House
118.id,1436.0,77
669.statevalue,D,SD
53.indexvalue,3.0,53
640.beername,Bi Blue Van,Big Blue Van
1071.beername,Alteriation,Alteration
10.statevalue,NI,IN
514.breweryname,Caldera cBrewing Company,Caldera Brewing Company
687.beername,The Citizne,The Citizen
1260.statevalue,A,PA
713.statevalue,R,OR
16.id,2264.0,2318
19.id,2264.0,1502
1599.breweryname,Oskar Bluesb Brewery (North Carol...,Oskar Blues Brewery (North Carol...
1364.city,Monaroe,Monroe
