669.scheddeptime,10:40a.m.,10:40 a.m.
919.tupleid,-1264,919
1605.scheddeptime,12:0 p.m.,12:30 p.m.
391.scheddeptime,3:50 .pm.,3:50 p.m.
2054.schedarrtime,11:55 .am.,11:55 a.m.
1316.flight,OC-50-CLE-EWR,CO-50-CLE-EWR
1129.scheddeptime,12:15 pm.,12:15 p.m.
1346.scheddeptime,8:05y a.m.,8:05 a.m.
15.tupleid,2.0,15
22.tupleid,1.0,22
1966.src,allbegiantair,allegiantair
2344.src,world-fqlight-tracker,world-flight-tracker
1198.schedarrtime,:259 p.m.,2:59 p.m.
1997.flight,UA8-43-LAX-ORD,UA-843-LAX-ORD
76.tupleid,12.0,76
1076.schedarrtime,10:3 p.m.,10:30 p.m.
1576.actarrtime,6:4 3p.m.,6:43 p.m.
1619.scheddeptime,9:00 zp.m.,9:00 p.m.
2010.src,allegaintair,allegiantair
2202.src,gofxo,gofox
1211.src,husatoday,usatoday
47.flight,AA-271-MIA-LAX,AA-3786-IAH-ORD
1185.actdeptime,:657 a.m.,6:57 a.m.
610.actarrtime,2:00 pf.m.,2:00 p.m.
1230.src,ymrateplan,myrateplan
2104.schedarrtime,:45 p.m.,9:45 p.m.
633.actarrtime,11:58 oa.m.,11:58 a.m.
17.tupleid,2.0,17
14.tupleid,9.0,14
2247.tupleid,-1323,2247
243.flight,CO-50-LCE-EWR,CO-50-CLE-EWR
1574.actdeptime,1:19 mp.m.,1:19 p.m.
2310.flight,AA-1917J-FK-MCO,AA-1917-JFK-MCO
2055.schedarrtime,9:54g a.m.,9:54 a.m.
48.tupleid,4.0,48
1290.scheddeptime,:59 a.m.,6:59 a.m.
467.tupleid,4249,467
313.flight,UA-8h58-PVG-SFO,UA-858-PVG-SFO
21.tupleid,11.0,21
1316.scheddeptime,2:55 pm.,2:55 p.m.
951.src,flightarrkival,flightarrival
961.scheddeptime,7a:53 a.m.,7:53 a.m.
853.src,flightus,flights
459.src,flightrview,flightview
1614.tupleid,4880,1614
1365.schedarrtime,4:00p.m.,4:00 p.m.
726.actdeptime,358 p.m.,3:58 p.m.
201.scheddeptime,4:5 p.m.,4:55 p.m.
1146.actdeptime,2:5 p.m.,2:55 p.m.
1715.scheddeptime,2:35 .m.,2:35 p.m.
2362.flight,UA-257-JF-KSFO,UA-257-JFK-SFO
537.scheddeptime,7:10 .am.,7:10 a.m.
624.schedarrtime,4:49 p.ml.,4:49 p.m.
2053.schedarrtime,9:25 a.mq.,9:25 a.m.
493.schedarrtime,1:031 a.m.,10:31 a.m.
78.flight,AA-1733-ORD-PHX,UA-3050-PHX-CLT
617.tupleid,-1224,617
1897.actarrtime,2:46p .m.,2:46 p.m.
2183.src,gfoox,gofox
300.actdeptime,1101 a.m.,11:01 a.m.
753.scheddeptime,11:45 a.nm.,11:45 a.m.
19.actdeptime,6:57 a..,6:57 a.m.
2031.scheddeptime,7:15a .m.,7:15 a.m.
32.tupleid,11.0,32
643.schedarrtime,:646 p.m.,6:46 p.m.
554.scheddeptime,7:p00 a.m.,7:00 a.m.
136.scheddeptime,9:05 a..m,9:05 a.m.
1251.scheddeptime,11:05 a.mm.,11:05 a.m.
81.tupleid,6.0,81
871.schedarrtime,:17 p.m.,4:17 p.m.
1626.flight,UA-828S-FO-ORD,UA-828-SFO-ORD
776.flight,AA-413-MIA-SFO,AA-431-MIA-SFO
1517.tupleid,3810,1517
207.schedarrtime,2:s59 p.m.,2:59 p.m.
2079.actarrtime,1:027 a.m.,10:27 a.m.
2135.tupleid,-1314,2135
1374.scheddeptime,4:5q5 p.m.,4:55 p.m.
1557.actdeptime,1:30 pm..,1:30 p.m.
1711.src,wundergound,wunderground
421.schedarrtime,2:1t5 p.m.,2:15 p.m.
250.schedarrtime,3:30 .pm.,3:30 p.m.
203.flight,UA-938-rDEN-ORD,UA-938-DEN-ORD
258.schedarrtime,2:50p.m.,2:50 p.m.
1871.tupleid,4431,1871
1551.actdeptime,4:2 5p.m.,4:25 p.m.
334.flight,OC-45-EWR-MIA,CO-45-EWR-MIA
759.flight,AA-1434-DFW-bMCO,AA-1434-DFW-MCO
1275.scheddeptime,4:5 p.m.,4:55 p.m.
508.schedarrtime,5:1 a.m.,5:11 a.m.
604.flight,AA-43-1MIA-SFO,AA-431-MIA-SFO
763.actarrtime,7:51 za.m.,7:51 a.m.
101.flight,AA-3859-IAH-ORD,AA-643-MIA-ORD
1616.flight,UA-2515-DF-WCLT,UA-2515-DFW-CLT
1448.tupleid,-1287,1448
102.tupleid,1.0,102
2288.schedarrtime,9:10 p..,9:10 p.m.
1756.actarrtime,5:3v8 p.m.,5:38 p.m.
2274.actarrtime,3m:30 p.m.,3:30 p.m.
1976.scheddeptime,11:40 a..m,11:40 a.m.
1979.schedarrtime,10:20 am..,10:20 a.m.
1128.actarrtime,4:23 .pm.,4:23 p.m.
1519.src,flyteocmm,flytecomm
1089.actarrtime,9:4g5 a.m.,9:45 a.m.
1560.src,flytceomm,flytecomm
2270.scheddeptime,1p1:05 a.m.,11:05 a.m.
100.tupleid,4.0,100
41.tupleid,7.0,41
2360.tupleid,-1433,2360
2203.tupleid,-1371,2203
173.actdeptime,8:00a.m.,8:00 a.m.
46.src,apa,aa
60.tupleid,9.0,60
522.src,flixghtview,flightview
1235.flight,UA-414-LAX-vSFO,UA-414-LAX-SFO
2324.actarrtime,11:5 8a.m.,11:58 a.m.
275.scheddeptime,104:5 a.m.,10:45 a.m.
836.flight,AA446-DFW-PHL,AA-446-DFW-PHL
1124.flight,AA-1221-MCOORD,AA-1221-MCO-ORD
1858.src,fylouisville,flylouisville
23.actarrtime,10:36 a.jm.,10:36 a.m.
531.src,lightview,flightview
1497.schedarrtime,11:19 a.mb.,11:19 a.m.
1098.schedarrtime,4:57 p..m,4:57 p.m.
1004.schedarrtime,10:6 a.m.,10:06 a.m.
1884.actdeptime,11:30 a..,11:30 a.m.
137.src,elloflight,helloflight
875.scheddeptime,8:2 p.m.,8:25 p.m.
613.src,fligvhtstats,flightstats
670.actdeptime,13:2 p.m.,1:32 p.m.
867.actdeptime,7:05 am.,7:05 a.m.
369.src,airtravelecnter,airtravelcenter
1166.scheddeptime,6:4 5a.m.,6:45 a.m.
1025.scheddeptime,6:45 .m.,6:45 p.m.
1078.flight,U-2830-MCO-CLT,UA-2830-MCO-CLT
2052.src,businesstravelolgue,businesstravellogue
256.schedarrtime,7:25 .pm.,7:25 p.m.
529.scheddeptime,7:25a.m.,7:25 a.m.
84.tupleid,1.0,84
1100.actdeptime,f8:40 a.m.,8:40 a.m.
1051.src,tavelocity,travelocity
241.schedarrtime,2:25f p.m.,2:25 p.m.
657.tupleid,4930,657
775.scheddeptime,6:59 ad.m.,6:59 a.m.
498.schedarrtime,5:50 a..,5:50 a.m.
234.actarrtime,2:09 p.m.,12:09 p.m.
1165.scheddeptime,10:40o a.m.,10:40 a.m.
101.tupleid,12.0,101
76.src,hellfoflight,helloflight
1920.schedarrtime,12:29 ua.m.,12:29 a.m.
2002.scheddeptime,3:5 0p.m.,3:50 p.m.
2311.tupleid,4331,2311
295.flight,UA-2906P-HL-MCO,UA-2906-PHL-MCO
1613.actdeptime,5:08 p..,5:08 p.m.
2347.actdeptime,:21 a.m.,7:21 a.m.
1554.src,flyteocmm,flytecomm
1338.schedarrtime,9:21a.m.,9:21 a.m.
81.scheddeptime,10:15a .m.,10:15 a.m.
444.actdeptime,12:11 pm..,12:11 p.m.
1354.scheddeptime,10:15u a.m.,10:15 a.m.
1491.scheddeptime,80:0 a.m.,8:00 a.m.
2105.src,bsuinesstravellogue,businesstravellogue
1986.actdeptime,2:26 p..,2:26 p.m.
2325.src,world-flight-tacker,world-flight-tracker
158.scheddeptime,p3:27 p.m.,3:27 p.m.
2271.actdeptime,8:04a .m.,8:04 a.m.
1174.schedarrtime,9:5 4a.m.,9:54 a.m.
223.src,boton,boston
2283.actarrtime,2:27 pv.m.,2:27 p.m.
253.scheddeptime,8:00 am..,8:00 a.m.
2176.actdeptime,105:5 a.m.,10:55 a.m.
1229.scheddeptime,7:45 p.zm.,7:45 p.m.
1008.tupleid,4595,1008
244.schedarrtime,6:17 .m.,6:17 p.m.
1380.tupleid,4219,1380
1014.tupleid,5055,1014
493.actdeptime,7:0 5a.m.,7:05 a.m.
97.tupleid,6.0,97
1415.src,orbtiz,orbitz
455.schedarrtime,10:06 a..m,10:06 a.m.
2003.flight,UA-938-DE-ORD,UA-938-DEN-ORD
103.tupleid,3.0,103
52.flight,AA-204-LAX-MCO,CO-1586-IAH-MCO
500.schedarrtime,12:15 a.sm.,12:15 a.m.
956.scheddeptime,2:55 p.qm.,2:55 p.m.
1506.schedarrtime,9:55 a.m.***,9:55 a.m.
1168.src,foxbsuiness,foxbusiness
2133.actdeptime,8:0 a.m.,8:04 a.m.
795.schedarrtime,e7:55 p.m.,7:55 p.m.
1821.schedarrtime,1o2:15 a.m.,12:15 a.m.
75.schedarrtime,3:50 p.mx.,3:50 p.m.
2092.actdeptime,3:36 p.mx.,3:36 p.m.
2255.scheddeptime,7:10 a.mq.,7:10 a.m.
1915.actdeptime,7:05 am..,7:05 a.m.
897.tupleid,5175,897
545.flight,AA-1640-MIA-CO,AA-1640-MIA-MCO
546.scheddeptime,u3:27 p.m.,3:27 p.m.
88.tupleid,18.0,88
1421.actarrtime,11:12 ar.m.,11:12 a.m.
1203.schedarrtime,4:y48 p.m.,4:48 p.m.
1241.schedarrtime,1e0:06 a.m.,10:06 a.m.
628.schedarrtime,6:40 am..,6:40 a.m.
1036.scheddeptime,11w:55 p.m.,11:55 p.m.
2031.schedarrtime,11:35 a..,11:35 a.m.
425.actarrtime,10v:16 a.m.,10:16 a.m.
1953.schedarrtime,9:25 a..m,9:25 a.m.
397.actarrtime,4:w23 p.m.,4:23 p.m.
735.flight,AA-1460-MIA-MCO,AA-1640-MIA-MCO
2193.src,goox,gofox
70.flight,AA-518-MIA-JFK,AA-484-DFW-MIA
1682.schedarrtime,2:45 pc.m.,2:45 p.m.
1335.actarrtime,:717 a.m.,7:17 a.m.
1659.flight,AA-415-BOSO-RD,AA-415-BOS-ORD
977.scheddeptime,133 p.m.,1:33 p.m.
523.actarrtime,1z0:16 a.m.,10:16 a.m.
644.flight,CO-52-IAHl-LAX,CO-52-IAH-LAX
43.flight,AA-204-LAX-MCO,AA-789-ORD-DEN
300.tupleid,4139,300
200.flight,A-A643-MIA-ORD,AA-643-MIA-ORD
1949.actarrtime,6:19 am.,6:19 a.m.
2074.tupleid,-1381,2074
492.flight,CO-16-LAX-EWnR,CO-16-LAX-EWR
919.src,flightarriavl,flightarrival
48.flight,AA-3468-CVG-MIA,AA-222-LAX-BOS
636.scheddeptime,12:00 p.pm.,12:00 p.m.
1835.src,flylouisvlile,flylouisville
1219.tupleid,5266,1219
522.scheddeptime,1:05 px.m.,1:05 p.m.
954.src,lightarrival,flightarrival
1559.flight,UA-6273-YhYC-SFO,UA-6273-YYC-SFO
66.tupleid,6.0,66
1086.scheddeptime,9:45a.m.,9:45 a.m.
227.src,boszton,boston
2212.src,goofx,gofox
1505.schedarrtime,10:0y6 a.m.,10:06 a.m.
1213.src,suatoday,usatoday
384.tupleid,-1207,384
360.scheddeptime,8:05a .m.,8:05 a.m.
826.flight,CzO-52-IAH-LAX,CO-52-IAH-LAX
2360.actarrtime,10:04x a.m.,10:04 a.m.
1838.actarrtime,5:43 kp.m.,5:43 p.m.
1060.scheddeptime,8:35 a.ym.,8:35 a.m.
387.flight,AA-3842-MS-PORD,AA-3842-MSP-ORD
662.scheddeptime,:753 a.m.,7:53 a.m.
627.schedarrtime,7:5 p.m.,7:05 p.m.
1088.schedarrtime,10:0 a.m.,10:06 a.m.
95.tupleid,3.0,95
510.tupleid,-1358,510
1556.flight,UA-3373-IAD-PHlL,UA-3373-IAD-PHL
1742.scheddeptime,7:50 a.m.,7:05 a.m.
826.schedarrtime,9:21 a.sm.,9:21 a.m.
1320.scheddeptime,4:0 p.m.,4:00 p.m.
813.schedarrtime,1c0:15 p.m.,10:15 p.m.
862.actdeptime,5:08 p..m,5:08 p.m.
19.flight,AA-1886-BOS-MIA,AA-404-MIA-MCO
1673.actarrtime,4:9 p.m.,4:09 p.m.
342.flight,UA-395-IAD-ORF,UA-3925-IAD-ORF
658.actarrtime,1:27 a.m.,10:27 a.m.
1432.src,O,CO
598.flight,AA-5122-SFO-ORD,AA-1522-SFO-ORD
1981.schedarrtime,m12:10 p.m.,12:10 p.m.
269.src,weatheqr,weather
283.scheddeptime,7:25 am.,7:25 a.m.
310.flight,AA-649-OR-SNA,AA-649-ORD-SNA
1341.schedarrtime,10:06 fa.m.,10:06 a.m.
870.tupleid,4717,870
652.flight,CO-1561-PHX-IH,CO-1561-PHX-IAH
30.tupleid,10.0,30
24.tupleid,6.0,24
2277.actdeptime,12:35 pm.,12:35 p.m.
553.src,flightmstats,flightstats
63.tupleid,6.0,63
718.flight,AA-1544-SAN-sORD,AA-1544-SAN-ORD
1804.actarrtime,12:l21 a.m.,12:21 a.m.
755.src,flighteplorer,flightexplorer
1381.actarrtime,4:23 p.lm.,4:23 p.m.
1967.schedarrtime,12:35 p..,12:35 p.m.
1550.actdeptime,11:55 .pm.,11:55 p.m.
362.tupleid,-1247,362
27.src,a,aa
161.actarrtime,6:55 am..,6:55 a.m.
45.tupleid,1.0,45
2247.schedarrtime,11:10m a.m.,11:10 a.m.
1746.tupleid,-1425,1746
1090.actarrtime,7:39 qp.m.,7:39 p.m.
2101.actarrtime,7:55 pg.m.,7:55 p.m.
805.src,co,mco
1477.schedarrtime,7:0 p.m.,7:03 p.m.
981.actdeptime,:22 p.m.,5:22 p.m.
579.src,flighttats,flightstats
768.actarrtime,9:53 p..,9:53 p.m.
1190.actdeptime,1:3s2 p.m.,1:32 p.m.
1783.scheddeptime,11:50 a..,11:50 a.m.
268.tupleid,-1253,268
1707.schedarrtime,1:215 a.m.,12:15 a.m.
1080.src,foxbusiness***,foxbusiness
2332.schedarrtime,7:5 p.m.,7:55 p.m.
2361.actdeptime,8:51 a..,8:51 a.m.
124.actdeptime,5:30 pm..,5:30 p.m.
92.flight,AA-204-LAX-MCO,AA-4330-CVG-ORD
187.actdeptime,3:1 a.m.,3:11 a.m.
2002.actarrtime,6:38 p..m,6:38 p.m.
1534.schedarrtime,2:21 a.m.,12:21 a.m.
816.actarrtime,9:4j3 a.m.,9:43 a.m.
2125.tupleid,-1500,2125
2299.actarrtime,4:17 .m.,4:17 p.m.
745.src,flightexplorebr,flightexplorer
77.tupleid,18.0,77
571.actarrtime,2:50p .m.,2:50 p.m.
1521.actdeptime,1:35 p.m.,12:35 p.m.
349.tupleid,3746,349
394.scheddeptime,1025 a.m.,10:25 a.m.
2105.tupleid,3960,2105
1616.schedarrtime,10:3x1 a.m.,10:31 a.m.
1177.schedarrtime,10:06 am.,10:06 a.m.
2101.actdeptime,5:0 p.m.,5:08 p.m.
1281.actdeptime,7:05 a..,7:05 a.m.
1006.scheddeptime,2:30 p.mj.,2:30 p.m.
65.tupleid,33.0,65
376.scheddeptime,71:0 p.m.,7:10 p.m.
1451.flight,CO-89-AH-EWR,CO-89-IAH-EWR
644.scheddeptime,7:35 .m.,7:35 a.m.
2365.flight,AA-1197-JFK-MCO,AA-1917-JFK-MCO
283.src,weahter,weather
425.scheddeptime,:835 a.m.,8:35 a.m.
72.tupleid,33.0,72
1719.src,wundergroud,wunderground
1555.scheddeptime,8:35 a.mc.,8:35 a.m.
1689.actdeptime,1152 a.m.,11:52 a.m.
1413.src,orbizt,orbitz
1817.tupleid,4723,1817
1735.src,a,ua
1024.src,travelcity,travelocity
765.tupleid,-1242,765
2118.tupleid,4956,2118
1056.actarrtime,1:43 p..m,1:43 p.m.
1594.flight,AA2-04-LAX-MCO,AA-204-LAX-MCO
940.actarrtime,3:40 p.m.,3:04 p.m.
2207.actarrtime,6:38 p..m,6:38 p.m.
57.tupleid,6.0,57
1630.actarrtime,1:43p.m.,1:43 p.m.
1227.schedarrtime,11:55 a.m.***,11:55 a.m.
1400.flight,UA-1500-IAeH-GUA,UA-1500-IAH-GUA
1542.flight,UA-938-DE-ORD,UA-938-DEN-ORD
1717.actarrtime,11y:06 a.m.,11:06 a.m.
461.tupleid,-1399,461
2059.flight,CO-58h-DEN-IAH,CO-58-DEN-IAH
78.tupleid,10.0,78
1280.schedarrtime,6:44 .pm.,6:44 p.m.
718.tupleid,4223,718
566.actarrtime,11l:01 a.m.,11:01 a.m.
1149.schedarrtime,4:05 p..m,4:05 p.m.
2376.actdeptime,:39 a.m.,7:39 a.m.
1158.actarrtime,8:06a .m.,8:06 a.m.
2216.scheddeptime,11:5 p.m.,11:55 p.m.
65.flight,AA-1733-ORD-PHX,CO-52-IAH-LAX
1820.actdeptime,4:n25 p.m.,4:25 p.m.
1769.actdeptime,1:125 p.m.,11:25 p.m.
1966.schedarrtime,1:16 .m.,1:16 p.m.
1022.actarrtime,2:46 p.mm.,2:46 p.m.
834.flight,CO-1516-PHX-IAH,CO-1561-PHX-IAH
1512.flight,AA-446-DFW-PbHL,AA-446-DFW-PHL
1302.tupleid,-1302,1302
423.actdeptime,:52 a.m.,8:52 a.m.
1250.scheddeptime,6:00h a.m.,6:00 a.m.
2010.tupleid,-1475,2010
1128.actdeptime,1:31 p..,1:31 p.m.
2107.scheddeptime,10:40 a.mn.,10:40 a.m.
1737.src,rua,ua
2342.src,worl-flight-tracker,world-flight-tracker
2001.tupleid,4090,2001
98.actdeptime,2:10 p.om.,2:10 p.m.
1029.scheddeptime,6b:00 a.m.,6:00 a.m.
1312.src,myrtaeplan,myrateplan
1641.flight,AA-3g804-PHL-ORD,AA-3804-PHL-ORD
1413.schedarrtime,22:5 p.m.,2:25 p.m.
313.actarrtime,8:0 a.m.,8:02 a.m.
68.tupleid,2.0,68
744.actdeptime,10:m10 a.m.,10:10 a.m.
1926.scheddeptime,2c:30 p.m.,2:30 p.m.
1176.schedarrtime,7:23 .am.,7:23 a.m.
1610.flight,AA-2q71-MIA-LAX,AA-271-MIA-LAX
1340.actdeptime,10:10 am.,10:10 a.m.
2212.actdeptime,11:1 a.m.,11:01 a.m.
1605.actdeptime,1:35 p.m.,12:35 p.m.
1688.flight,CO-47-AH-LAX,CO-47-IAH-LAX
779.scheddeptime,110:8 p.m.,11:08 p.m.
935.schedarrtime,6t:23 p.m.,6:23 p.m.
799.schedarrtime,2:3 5p.m.,2:35 p.m.
1662.actarrtime,9:32 .m.,9:32 a.m.
873.schedarrtime,12:29a.m.,12:29 a.m.
1989.src,llegiantair,allegiantair
573.src,lightstats,flightstats
1541.src,flyteocmm,flytecomm
1539.scheddeptime,4:55 pk.m.,4:55 p.m.
284.actdeptime,11:52 .m.,11:52 a.m.
1603.schedarrtime,12:10 p..m,12:10 p.m.
1666.tupleid,4828,1666
1969.actdeptime,:725 a.m.,7:25 a.m.
1558.schedarrtime,4:48p .m.,4:48 p.m.
973.flight,AA-1640-MIAM-CO,AA-1640-MIA-MCO
67.actdeptime,10:10 am.,10:10 a.m.
23.scheddeptime,7:15 am.,7:15 a.m.
51.tupleid,38.0,51
2201.actdeptime,7:15 p..,7:15 p.m.
