state_county,state,statefips,cntyfips,county,county_two,fips,fips_two,perc_viol,Label
AL Hale,AL,1,65,Hale ,Hal e,60030,f01065,0.0,1
AL Henry,AL,1,67,Henry ,Henry ,1067,f01067,0.0,0
AL Houston,AL,1,69,Houston ,Houston ,1069,0.0,f01069,1
AL Jackson,AL,1,,Jackson ,Jackson ,1071,f01071,0.0,1
AL Jefferson,AL,1,73,Jefferson ,Jefferson ,1073,f01073,0.0,0
AL LZmar,AL,1,75,Lamar ,Lamar ,1075,f01075,0.0,1
AL Lauderdale,AL,1,77,Lauderdale ,Lauderdale ,1077,f01077,0.0,0
AL Lawrence,rL,1,79,Lawrence ,Lawrence ,1079,f01079,0.0,1
AL Lee,AL,1,81,Lee ,Lee ,1081,f01081,,1
AL Limestone,AL,1,83,,Limestone ,1083,f01083,0.0,1
AL Lowndes,AL,1,85,Lowndes ,Lowndes ,1085,f01085,0.0,0
AL Macon,AL,1,87,Macon ,,1087,f01087,0.0749625187406297,1
AL Madison,AL,1,89,Madison ,Madison ,1089,f01089,0.0,0
AL Marengo,AL,1,91,Marengo ,Marengo ,1091,f01091,,1
AL Marion,AL,1,93,Marion ,Marion ,1093,f01093,0.0,0
AL Marshall,AL,1,95,Marshall ,Marshall ,1095,f01095,0.0,0
AL Mobile,AL,1,97,Mobile ,Mobile ,1097,f01097,0.0,0
AL Monroe,AL,1,99,Monroe ,Monroe ,1099,f01099,0.0,0
AL Montgomery,AL,1,101,Montgomery ,Montgomery ,1101,f01101,0.0,0
CA Nevada,AL,1,103,Morgan ,Morgan ,1103,f01103,0.0,1
AL Perry,,1,105,Perry ,Perry ,1105,f01105,2.74599542334096,1
AL Pickens,,1,107,Pickens ,Pickens ,1107,f01107,0.0,1
AL Pike,1,AL,109,Pike ,Pike ,1109,f01109,0.0,1
AL Randolph,AL,1,111,Randolph ,Randolph ,1111,f01111,0.0,0
AL Russell,AL,1,113,Russell ,Russell ,1113,f01113,0.0,0
AL Shelby,AL,1,117,Shelby ,Shelby ,1117,f01117,.00,1
AL St. Clair,AL,1,St. Clair ,115,St. Clair ,1115,f01115,0.041407867494824,1
AL Sumter,AR,1,119,Sumter ,Sumter ,1119,f01119,0.0,1
AL Talladega,AL,1,121,Talladega ,Talladega ,1121,f01121,0.0,0
AL Tallapoosa,1,AL,123,Tallapoosa ,Tallapoosa ,1123,f01123,0.0,1
AL Tuscaloosa,AL,1,125,Tuscalosoa ,Tuscaloosa ,1125,f01125,0.0,1
AL Walker,AL,1,127,Walker ,Walker ,1127,f01127,0.0,0
AL Washington,AL,1,129,Washington ,Washington ,1129,f01129,0.0,0
AL Wilcox,AL,1,131,Wilcox ,Wilcox ,1131,f01131,0.0,0
AL Winston,AL,1,133,inston ,1133,Winston ,f01133,0.0,1
AR Arkansas,AR,5,101,Arkansas ,Arkansas ,5001,f05001,0.0,1
AR Ashley,,5,3,Ashley ,Ashley ,5003,f05003,0.0,1
AR Baxter,AR,5,5,Baxter ,Baxter ,5005,f05005,0.0,0
AR Benton,AR,5,7,Benton ,Benton ,5007,f05007,0.0,0
AR Boone,AR,5,9,Boone ,Boone ,5009,f05009,0.0,0
AR Bradley,AR,5,11,Bradley ,Yuba ,5011,0.0,f05011,1
AR Calhoun,AR,5,13,Calhoun ,,5013,f05013,0.0137155397064875,1
AR Carroll,AR,5,15,Carroll ,Carroll ,5015,f05015,0.0,0
AR Chicot,AR,5,17,Prowers ,Chicot ,5017,f05017,0.0,1
AR Clark,AR,12,19,Clark ,Clark ,,f05019,0.0,1
AR Clay,AR,5,12,Clay ,,5021,f05021,0.0345065562456867,1
AR Cleburne,AR,5,23,Cleburne ,Cleburne ,5023,f05023,0.0,0
AR Cleveland,AR,5,25,Cleveland ,Cleveland ,5025,f06003,0.0,1
AR Columbia,AR,5,27,Columbia ,Columbia ,5027,f05027,0.0,1
AR Conway,AR,5,29,Conway ,Conway ,5029,0.0,f05029,1
AR,AR Craighead,5,31,Craighead ,Craighead ,5031,f05031,0.0,1
AR Crawford,AR,5,33,Crawford ,Crawford ,5033,f05033,0.0,0
AR Crittenden,AR,5,35,Crittenden ,Crittenden ,5035,f05035,0.0,0
AR Cross,RA,5,37,Cross ,Cross ,5037,f05037,0.0,1
,AR,5,39,Dallas ,Dallas ,5039,f05039,0.0,1
CA Glenn,AR,5,41,Desha ,Desha ,f05041,5041,0.0,1
AR Drew,AR,5,43,Drew ,Drew ,5043,f05043,0.0,0
AR Faulkner,AR,5,45,Faulkner ,Faulkner ,504,f05045,0.0,1
AR Franklin,AR,5,47,Franklin ,Franklin ,5047,f0507,0.0,1
AR Fulton,RA,5,49,Fulto n,Fulton ,5049,f05049,0.0,1
AR Garland,AR,5,51,Garland ,Garland ,5051,f05051,0.0,0
AR Grant,AR,5,53,Grant ,5053,Grant ,f05053,0.0,1
AR Greene,RA,5,55,Greene ,Greene ,5055,f05055,0.0,1
AR Hempstead,AR,5,57,Hempstead ,Hempstead ,5057,f05057,0.0,0
AR Hot Spring,AR,5,95,Hot Spring ,Arapahoe ,5059,f05059,0.0,1
AR Howard,AR,5,61,Howard ,Howardn,5061,f05061,0.0,1
AR Independence,AR,5,63,,Independence ,5063,f05063,0.0,1
AR Izard,AR,5,65,Izard ,Izard ,5605,f05065,0.0,1
AR,AR Jackson,5,67,Jackson ,Jackson ,5067,f05067,0.,1
AR Jefferson,FL,5,69,Jefferson ,Jefferson ,5069,f05069,0.0,1
AR Johnson,AR,5,71,Johnson ,Johnson ,5071,f05071,0.0,0
AR Lafayette,RA,5,10,Lafayette ,Lafayette ,5073,f05073,0.0,1
AR Lawrence,AR,5,75,Lawrence ,Lawrence ,5075,f05075,0.0,0
AR Lee,AR,5,77,Lee ,Lee ,5077,f05077,0.0,0
AR Lincoln,AR,5,79,Lincoln ,Lincoln ,5079,f05079,0.0,0
AR,AR Little River,81,5,Little River ,Little River ,5081,f05081,0.0,1
AR,AR Logan,5,83,Logan ,Logan ,5083,0.0,f05083,1
AR Lonoke,AR,5,85,Lonoke ,,5085,f05085,0.0,1
AR Madison,AR,5,Madison ,87,Madison ,5087,f05087,0.0,1
AR Marion,AR,5,89,Marion ,Marion ,5089,f05089,0.0,0
AR Miller,AR,5,91,Miller ,Miller ,5091,f05091,0.0,0
AR Mississippi,AR,5,39,Mississippi ,Mississippi ,5093,0.0,f05093,1
AR Monroe,AR,5,95,Monroe ,Monroe ,5095,f05095,0.0,0
AR Montgomery,AR,5,97,Montgomery ,Montgomery ,5097,f05097,0.0,0
AR Nevada,AR,99,5,Nevada ,Nevada ,5099,f05099,0.0,1
AR Newton,AR,5,101,Newton ,Newton ,5101,f05101,0.0,0
AR Ouachita,AR,5,103,Ouachita ,Ouachita ,5103,f05103,0.0,0
AR Perry,AR,5,105,Perry ,Dallas ,5105,f05105,0.0,1
AR Phillips,AR,5,,Phillips ,Phillips ,5107,f05107,0.0,1
AR Pike,AR,5,109,Pike ,Pike ,5109,f05109,0.0,0
AR Poinsett,AR,5,111,Poinsett ,Poinsett ,5111,0.0,f05111,1
AR Polk,AR,5,113,Polk ,Polk ,5113,f05113,0.0,0
AR Pope,AR,5,115,Pope ,Pope ,5115,f05115,0.0,0
AR Prairie,AR,5,117,Prairie ,Prairie ,5117,f05117,0.0,0
AR Pulaski,AR,8,119,Pulski ,Pulaski ,5119,f05119,0.0,1
AR Randolph,Ay,5,121,Randolph ,Randolph ,5121,f05121,0.0,1
AR Saline,AR,5,,Saline ,Saline ,n125,f05125,0.0,1
AR Scott,AR,5,127,Scowt ,Scott ,5127,f05127,0.0,1
AR Searcy,AR,5,129,Wakulla ,Searcy ,529,f05129,0.0,1
AR Sebastian,AR,5,131,Sebastian ,5131,Sebastian ,f05131,0.0,1
AR Sevier,,5,133,Sevier ,Sevier ,5133,f05133,0.0,1
AR Sharp,AR,5,135,Sharp ,Sharp ,13133,f05135,0.0,1
AR St. Francis,AR,5,123,St. Francis ,St. Francis ,5033,f05123,0.0,1
,AR,5,137,Stone ,Stone ,5137,,0.0,1
AR Uion,AR,5,139,Union ,Union ,5139,f05139,0.0,1
AR Van Buren,AR,5,141,Van Buren ,Van Buren ,13045,f05141,0.0,1
AR Washington,AR,5,143,Washington ,Washington ,5143,f05143,0.0,0
AR White,AR,5,145,White ,White ,5145,f05145,0.0,0
AR Woodruff,AR,5,147,Woodruff ,Woodruff ,5147,,0.0,1
AR Yell,AR,5,149,Yell ,Yell ,5149,f05149,0.0,0
AS Eastern District,AS,60,10,Eastern District,Eastern District,60010,f60010,0.0,0
AS Manu a District,S,60,20,Manu a District,Manu a District,60020,f60020,.00,1
AS Rose Island,AS,60,30,Rose Island,Rose Island,8077,,0.0,1
AS Swains Island,A,60,40,Swains Island,Swains Island,60040,f60040,0.0,1
AS Western District,AS,60,50,Miller ,Western District,60005,f60050,0.0,1
AZ Apache,AZ,4,1,,Apache ,4001,0.0,f04001,1
AZ Cochise,AZ,4,3,Cochise ,Cochise ,4003,f04003,0.041407867494824,0
AZ Coconino,AZ,4,5,Coonino ,Coconino ,4005,f04005,0.0,1
AZ Gila,AZ,4,7,Gia ,Gila ,4007,f04007,0.0,1
AZ Graham,AZ,4,9,Graham ,Graham ,4009,f04009,0.0,0
AZ Greenlee,AZ,4,11,Greenlee ,Greenlee ,4011,f04011,0.0,0
AZ La Paz,AZ,4,12,La Paz ,La Paz ,4012,f04012,0.0,0
AZ Maricopa,AZ,4,13,Maricopa ,Maricopa ,4013,f04013,0.03813882532418,0
AZ Mohave,AZ,4,15,San Joaquin ,Mohave ,4015,f04015,0.0,1
AZ Navajo,AZ,4,17,Navajo ,Navajo ,4017,f04017,0.0,0
AZ Pima,AZ,4,19,,Pima ,4019,f04019,0.0,1
AZ Pinal,AZ,4,21,Pinal ,Pinal ,4021,f04021,0.,1
AZ Santa Cruz,AZ,4,23,Santa Cruz ,Santa Cruz ,4023,f04023,0.0,1
AZ Yavapai,AZ,4,25,Yavapai ,Yavapai ,4025,,0.0,1
AZ Yuma,AZ,4,27,Yuma ,Yuma ,4027,f04027,0.0,0
CA Alameda,CA,6,1,Almaeda ,Alameda ,6001,f06001,0.0,1
CA Alpine,CA,6,3,Alpine ,Alpine ,6003,f06003,0.0,0
CA Amador,CA,2,5,Amador ,Amador ,6005,f06005,,1
CA Butte,CA,1,7,Butte ,Butte ,6007,f06007,0.0,1
CA Calaveras,CA,6,,Calaveras ,Calaveras ,6009,f06009,0.0,1
CA Colusa,CA,6,11,Colusa ,Colusa ,6011,f06011,0.152312378842426,1
CA Contra Costa,CA,6,13,Contra Costa ,Contra Costa ,6013,f06013,0.0,0
CA Del Norte,CA,6,15,Del Norte ,Del Norte ,6015,f06015,0.0,0
CA El Dorado,CA,6,17,Kenai Peninsula Borough,El Dorado ,6017,f06017,0.0,1
CA Fresno,CA,6,19,Fresno ,Fresno ,6019,f06019,0.0137155397064875,1
GA Crisp,CA,6,21,Glenn ,Glenn ,6021,f06021,0.0,1
CA Humboldt,CA,6,23,Humboldt ,Ouray ,6023,f06023,0.0,1
CA Imperial,CA,60,25,Imperial ,Imperial ,8029,f06025,0.0,1
CA Inyo,CA,6,,Inyo ,Inyo ,6027,f06027,0.0,1
CA Kern,C,6,29,Krn ,Kern ,6029,f06029,0.0,1
CA Kings,CA,6,31,Kings ,Kings ,6031,f06031,0.0,0
CA Lake,CA,6,33,Lake ,Lake ,6033,f06033,0.0,0
CA Lassen,,,35,Lassen ,Lassen ,6035,f06035,0.0,1
CA Los Angeles,6,CA,37,,Los Angeles ,6037,f06037,0.152312378842426,1
CA Madera,CA,6,39,Madera ,Madera ,6039,f06039,0.0,0
CA Marin,CA,6,41,Marin ,Marin ,6041,f06401,0.0,1
CA Mariposa,CA,6,43,Mariposa ,Lonoke ,6043,f06043,0.0,1
CA Mendocino,CA,6,45,Mendocinoe,Mendocino ,6045,f06045,,1
CA Merced,CA,6,47,Merced ,Merced ,6047,f06047,0.0,0
CA Modoc,CA,6,49,Modoc ,Modoc ,6049,f06049,0.0,0
CA Mono,CA,6,51,Mono ,Mono ,6051,f06051,0.0,0
CA Monterey,CA,6,53,Monterey ,Monterey ,6053,f06053,0.0,0
CA Napa,CA,6,55,Napa ,Napa ,6055,f06055,0.0,0
CA Nevada,CA,6,57,Nevada ,Nevada ,6057,f06057,0.0,0
CA Orange,CA,6,59,Orange ,Orange ,6059,f06059,0.0869565217391304,0
AR Lafayette,CA,6,61,Placer ,Placer ,6061,0.0,f06061,1
CA Plumas,CA,6,63,Plumas ,Plumas ,663,f06063,0.0,1
CA Riverside,CA,6,65,Riverside ,Riverside ,6065,f06065,0.111482720178372,1
CA Sacramento,CA,4,67,Sacramento ,Sacramento ,6067,f06067,0.0,1
CA San Benito,CA,6,69,San Benito ,San Benito ,6069,f06069,0.135869565217391,0
CA San Bernardino,CA,6,71,San Bernardino ,San Bernardino ,6071,f06071,0.0,0
CA San Diego,CA,6,,San Diego ,San Diego ,6073,f06073,0.0213128729752771,1
CA San Francisco,CA,6,75,San Francisco ,San Francisco ,6075,f06075,0.131752305665349,1
CA San Joaquin,CA,6,77,San Joaquin ,San Joaquin ,6077,f06077,0.0137155397064875,0
CA San Luis Obispo,6,CA,9,San Luis Obispo ,San Luis Obispo ,,f06079,0.i520697734964853,1
CA Scn Mateo,CA,6,81,San Mateo ,San Mateo ,6081,f06081,0.0749625187406297,1
,CA,6,83,Santa Barbara ,,6083,f06083,0.0,1
CA Santa Clara,CA,6,85,Santa Clara ,Santa Clara ,6085,f06085,0.0,0
,CA,6,Santa Cruz ,87,Santa Cruz ,6087,f06087,0.0,1
CA Shasta,CA,6,89,Columbia ,Shasta ,6089,f06089,,1
CA Sierra,CA,6,Sierra ,91,Sierra ,6091,f06091,,1
CA Siskiyou,CA,6,93,Siskiyou ,Siskiyou ,6093,f06093,0.0,0
CA Solano,CA,6,95,Solano ,Solano ,6095,f06095,0.0,0
CA Sonoma,CA,6,97,Sonoma ,Sonoma ,6097,f06097,0.0520697734964853,1
CA,CA Stanislaus,6,99,Stanislaus ,Stanislaus ,6099,f06099,0.041407867494824,1
CA Sutter,CA,6,101,Sutter ,6101,Sutter ,f06101,0.0,1
CA Tehama,CA,6,103,Tehama ,Tehama ,6103,f06103,0.0,0
CA Trinity,CA,6,105,Trinity ,Trinity ,6105,f06105,0.0,0
CA Tulare,CA,6,107,Tulare ,Tulare ,6107,f06107,0.0882167611846251,0
CA Tuolumne,CA,109,6,Tuolumne ,Tuolumne ,6109,f06109,0.0,1
CA Ventura,CA,6,111,Ventura ,Lamar ,6111,f06111,0.131752305665349,1
CA Yolo,CA,6,113,olo ,Yolo ,6113,f06113,0.0,1
CA Ybua,CA,,115,Yuba ,Yuba ,6115,f06115,00.,1
CO Adams,CO,8,1,Adams ,Adams ,8001,f08001,0.0,0
CO Alamosa,CO,8,3,Alamosa ,Alamosa ,8003,f08003,0.0,0
CO Arapahoe,CO,8,5,Arapahoe ,Arapahoe ,,f08005,0.0,1
CO Archuleta,,8,,Archuleta ,Archuleta ,8007,V08007,0.0,1
CO Baca,CO,8,9,Baca ,Baca ,12133,f08f09,y.0,1
CO Bent,CO,8,11,Bent ,Bent ,8011,0.0,f08011,1
C Boulder,CO,8,13,Boulder ,Boulder ,8013,f08013,0.111482720178372,1
CO Broomfield,CO,8,14,Broomfield ,Broomfield ,8014,f0804,0.0,1
CO Chaffee,CO,8,15,Chaffee ,Chaffee ,8015,f08015,0.0701262272089762,0
CO Cheyenne,CO,8,17,Cheyenne ,Cheyenne ,8017,f08017,0.0,0
CO Clear Creek,CO,8,193,Clear Creek ,Clear Creek ,8019,f08019,0.0,1
CO Conejos,CO,8,21,Conejos ,Conejos ,8021,f08021,0.0,0
CO Costilla,,8,23,Costilla ,Costilla ,8023,f08023,0.0,1
CO Crowley,CO,8,25,Crowley ,Crowley ,8025,f08025,0.0,0
CO Custer,CO,8,27,Custer ,,8027,f08027,0.0,1
CO Delta,CO,8,29,Delta ,Delta ,8029,f08029,0.0,0
CO Denver,CO,8,31,Denver ,Denver ,8031,0.0,f08031,1
CO Dolores,CO,8,33,Dolores ,Dolores ,8014,f08033,0.0,1
CO Douglas,CO,8,35,Douglas ,Douglas ,8035,f08035,0.0,0
,8,CO,37,Eagle ,Eagle ,8037,f08037,0.0,1
,CO,8,41,El Paso ,El Paso ,8041,f08041,0.036231884057971,1
CO Elbert,CO,,3,Elbert ,Elbetr ,8039,f08j39,0.0,1
CO Fremont,CO,8,43,Fremont ,Fremont ,8043,f08043,0.144927536231884,0
CO Garfield,CO,8,45,Garfield ,Garfield ,8045,f08045,0.0,0
CO Gilpin,CO,8,47,Gilpin ,Gilpin ,8047,f08047,0.82815734989648,0
CO Grand,CO,8,49,Grand ,Grand ,8049,f08049,0.0,0
CO Gunnison,CO,8,51,Gunnison ,Gunnison ,8051,f08051,0.0,0
CO Hinsdale,CO,8,53,Hinsdale ,,8503,f08053,.0,1
CO Huerfano,CO,8,5,Huerfano ,Huerfano ,8055,,0.0,1
GA Crawford,CO,8,5H,Jackson ,Jackson ,8057,f08057,0.0,1
CO Jefferson,CO,8,59,Gilpin ,Dolores ,8059,f08059,0.123051681706317,1
CO Kiowa,CO,8,61,Kiowa ,Kiowa ,8061,f08061,0.0,0
CO Kit Carson,CO,8,63,Woodruff ,Kit Carson ,8063,f08063,0.0,1
CO La Plata,CO,8,67,La Plata ,La Plata ,8067,f08067,0.0,0
CO Lake,CO,65,8,Lake ,Lake ,8065,f08065,0.0,1
CO Larimer,CO,8,69,Larimer ,Larimer ,8069,f08069,0.0345065562456867,0
CO aLs Animas,CO,8,71,Las Animas ,Las Animas ,8071,f08071,0.0,1
CO Lincoln,CO,8,73,Lincoln ,Lincoln ,8073,f08073,0.0,0
CO Loan,CO,8,75,Logan ,Logan ,8075,f08075,0.0,1
CO Mesa,CO,8,77,Mesa ,Mesa ,8077,f08077,0.0749625187406297,1
CO Mineral,CO,8,79,Mineral ,Mineral ,8079,f08079,0.0,0
CO Moffat,CO,8,81,Moffat ,Moffat ,8081,f08081,0.0,0
CO Montezuma,CO,8,83,Montezuma ,Montezuma ,8083,f08083,0.0213128729752771,1
CO Montrose,CO,8,85,Montrose ,Montrose ,4021,f08085,0.0,1
CO Morgan,CO,8,87,Morgan ,Morgan ,6017,f08087,0.0,1
CO Otero,CO,8,89,Otero ,Otero ,8089,f08089,0.181159420289855,0
CO Ouray,CO,8,91,Ouray ,Ouray ,8091,f08091,0.0,0
AK Sitka City and Borough,CO,,93,Park ,Park ,8o93,f08093,0.181159420289855,1
CO Phillips,CO,,95,Phillips ,Phillips ,8095,f08095,0.0,1
CO Pitkin,CO,8,97,Pitkin ,Pitkin ,8097,f08097,0.0,0
CO Prowers,CO,8,99,,Prowers ,8099,f08099,0.0,1
CO Pueblo,CO,8,101,Pueblo ,Pueblo ,8101,0.501672240802676,f08101,1
CO Rio Blanco,CO,8,103,Rio Blanco ,Rio Blanco ,8103,f08103,0.0,0
CO Rio Grande,,8,150,Rio Grande ,Rio Grande ,8105,f08105,0.0,1
CO Routt,C,8,107,Routt ,Routt ,8107,f08107,0.0869565217391304,1
CO Saguache,,8,109,Saguache ,Saguache ,8109,f08109,0.0,1
CO San Juan,CO,8,111,San Juan ,San Juan ,8111,f08111,0.0,0
CO San Miguel,CO,8,113,San Miguel ,San Miguel ,8113,f08113,0.0,0
CO Sedgwick,CO,8,115,Sedgwick ,Sedgwick ,8115,f08115,0.0701262272089762,1
CO Summit,CO,8,117,Summit ,Summit ,8117,f08117,0.0,0
CO Teller,CO,8,119,Teler ,Teller ,8119,f08119,0.0,1
CO Washington,CO,8,121,Cochise ,Washington ,8121,f08121,0.0,1
AR Miller,CO,8,123,Weld ,Weld ,8123,f08123,0.213827512473272,1
CO Yuma,CO,8,53,Yuma ,Yuma ,8125,f08125,0.0,1
CT Fairfield,Cp,9,1,Fairfield ,Fairfield ,9001,f09001,0.0,1
CT Hartford,CT,9,3,Hartford ,Hartford ,9003,f09003,0.0,1
CT Litchfield,CT,9,5,Litchfield ,Litchfield ,9005,f09005,0.0,0
CT Middlesex,CT,9,7,Middlesex ,Middlesex ,9007,f09007,0.0,0
CT New Haven,CT,9,9,New Haven ,New Haven ,9009,f09009,0.0,0
CT New London,CT,9,11,New London ,New London ,9011,f08111,0.0,1
CT Tolland,CT,9,13,Tolland ,Tolland ,9013,f09013,0.0,0
CT Windham,CT,9,15,Windham ,Windham ,9015,f09015,0.0,0
DC District of Columbia,,11,1,District of Columbia,District of Columbia,11001,f11001,0.0,1
DEjKent,DE,10,1,Kent ,Kent ,10001,f10001,0.0,1
DE New Castle,DE,10,3,New Castle ,New Castle ,10003,f10003,0.0,0
DE Sussex,DE,10,5,Sussex ,Sussex ,f10005,10005,0.0,1
FL Alachua,FL,10,1,Alachua ,Alachua ,12001,f12001,0.0,1
FL Baker,FL,12,3,Baker ,Baker ,12003,f12003,0.0,0
FL Bay,FL,12,5,Benton ,Bay ,12005,f12005,0.0,1
FL Bradford,FL,12,7,Bradford ,Bradford ,12007,f12007,0.0,0
FL Brevard,FL,12,9,Brevard ,Brevard ,12009,f12009,0.0,0
FL Broward,FL,12,11,Broward ,Oconee ,12011,f12011,0.0,1
FL Calhoun,FL,,13,Prairie ,Calhoun ,12013,f12013,0.0,1
FL Charlotte,FL,12,15,Charlotte ,Charlotte ,12015,f12015,0.0,0
FL Citrus,FL,12,17,,Citrus ,12017,f12017,0.0,1
FL Clay,FL,12,19,Clay ,Clay ,12019,f12019,0.036231884057971,1
FL Collier,FL,12,21,Collier ,Collier ,12021,f12021,0.0,0
FL Columbia,FL,12,23,,Columbia ,12023,f12023,0.0,1
FL DeSoto,FL,12,27,DeSoto ,DeSoo ,f12027,12027,0c0,1
FL Dixie,FL,12,Dixie ,29,Dixi ,12029,f12029,0.0,1
FL Duval,FL,12,31,Duval ,Duval ,12031,f12031,,1
FL Escambia,FL,12,33,Escambia ,Escambia ,12033,f12033,0.0,0
FL Flagler,FL,12,35,Flagler ,Flagler ,12035,f12035,0.0,0
FL Franklin,FL,12,37,Franklin ,Franklin ,12037,f12037,0.0,0
